Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.181608	0.763970	60.239133	74.725275	
0.001000	0.778554	0.664725	71.607874	76.223776	
0.001000	0.682487	0.601619	74.283261	78.021978	
0.001000	0.630254	0.565028	76.205575	79.020979	
0.001000	0.594695	0.543695	77.176642	80.119880	
0.001000	0.568302	0.531871	78.497820	80.819181	
0.001000	0.544188	0.495381	79.079139	81.518482	
0.001000	0.526617	0.496020	79.686881	81.718282	
0.001000	0.513751	0.480768	80.129475	82.317682	
0.001000	0.491364	0.467801	81.107148	83.316683	
0.001000	0.481831	0.459347	81.186418	82.817183	
0.001000	0.470697	0.449913	81.318536	83.816184	
0.001000	0.461784	0.441576	82.415114	84.115884	
0.001000	0.451933	0.433945	82.289602	84.715285	
0.001000	0.435098	0.419706	82.910556	84.815185	
0.000100	0.430906	0.416073	83.161580	84.415584	
0.000100	0.432239	0.411657	83.254063	84.315684	
0.000100	0.428591	0.420187	83.478663	84.115884	
0.000100	0.424361	0.419958	83.505087	84.815185	
0.000100	0.424785	0.417721	82.989827	83.816184	
0.000100	0.424583	0.413903	83.379575	84.915085	
0.000100	0.423949	0.408512	83.293698	85.114885	
0.000100	0.425253	0.414910	83.412604	84.715285	
0.000100	0.415104	0.404180	83.868411	84.615385	
0.000100	0.421329	0.412471	83.419210	84.715285	
0.000010	0.411100	0.408097	84.046770	84.915085	
0.000010	0.417246	0.407849	83.617387	85.014985	
0.000010	0.418128	0.416805	83.749505	84.915085	
0.000010	0.416336	0.414061	83.828775	84.515485	
0.000010	0.416418	0.414432	84.152464	85.014985	
