Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.899639	0.646519	66.924296	76.523477	
0.001000	0.640006	0.582022	75.511957	78.921079	
0.001000	0.581462	0.567932	77.724931	79.720280	
0.001000	0.551716	0.513455	78.715815	81.618382	
0.001000	0.518197	0.499267	79.964328	82.617383	
0.001000	0.493926	0.494916	81.047695	81.618382	
0.001000	0.471297	0.471622	82.058396	82.417582	
0.001000	0.449835	0.432162	82.540626	84.315684	
0.001000	0.442045	0.433197	83.049280	83.216783	
0.001000	0.425464	0.468213	83.557934	82.217782	
0.001000	0.412949	0.451951	84.132646	82.417583	
0.001000	0.395323	0.426101	84.509182	84.315684	
0.001000	0.388135	0.462502	85.011230	83.916084	
0.001000	0.368084	0.405049	85.718061	85.714286	
0.001000	0.367858	0.420382	85.797331	85.014985	
0.000100	0.332387	0.394757	87.224204	86.413586	
0.000100	0.334162	0.389549	87.098692	86.513487	
0.000100	0.328487	0.391891	87.217598	86.213786	
0.000100	0.316774	0.387707	87.792311	86.213786	
0.000100	0.321132	0.384196	87.554499	86.413586	
0.000100	0.320815	0.390319	87.646981	86.413586	
0.000100	0.318199	0.382796	87.646981	86.013986	
0.000100	0.311933	0.384534	88.188664	86.813187	
0.000100	0.309272	0.384805	87.957458	86.213786	
0.000100	0.308329	0.374819	88.109394	87.512488	
0.000010	0.305307	0.374428	88.532171	87.112887	
0.000010	0.305010	0.375046	88.069758	86.913087	
0.000010	0.306768	0.378465	88.102788	87.112887	
0.000010	0.302184	0.377859	88.763377	86.913087	
0.000010	0.305203	0.379737	88.228300	86.113886	
