Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.445680	0.806558	45.760360	72.927073	
0.001000	1.196093	0.698338	52.931069	74.925075	
0.001000	1.129014	0.632240	54.424691	77.222777	
0.001000	1.092392	0.598055	55.832397	78.621379	
0.001000	1.066758	0.590327	56.321459	78.821179	
0.001000	1.043858	0.545177	57.464807	81.018981	
0.001000	1.029793	0.521686	58.614764	81.418581	
0.001000	1.014896	0.489112	58.528848	82.817183	
0.001000	1.000496	0.485636	58.694072	82.517483	
0.001000	0.994664	0.460719	58.898949	83.516484	
0.001000	0.980160	0.469562	59.335140	83.616384	
0.001000	0.971372	0.459091	60.015861	83.716284	
0.001000	0.958618	0.452041	60.081951	84.415585	
0.001000	0.950229	0.436335	60.571013	84.715285	
0.001000	0.942100	0.428769	60.663538	84.015984	
0.000100	0.934426	0.424577	61.502875	84.915085	
0.000100	0.932055	0.420441	60.901461	84.515485	
0.000100	0.927147	0.428709	61.463221	84.615385	
0.000100	0.927232	0.422206	61.747406	84.315684	
0.000100	0.930802	0.426767	61.661490	85.714286	
0.000100	0.923684	0.436621	61.806887	85.014985	
0.000100	0.924105	0.425554	61.892803	85.314686	
0.000100	0.926908	0.422327	61.747406	85.214785	
0.000100	0.925472	0.420598	61.568964	85.314685	
0.000100	0.923813	0.427921	61.469830	84.515485	
0.000010	0.921101	0.413326	61.793669	85.214785	
0.000010	0.920193	0.415155	61.602009	85.614386	
0.000010	0.917629	0.421374	61.972110	85.014985	
0.000010	0.918665	0.426488	62.064636	85.514486	
0.000010	0.916961	0.419706	61.641663	85.114885	
