Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.258953	0.755280	50.518802	74.425575	
0.001000	1.075039	0.569931	56.526337	78.721279	
0.001000	1.016621	0.546943	58.363624	81.218781	
0.001000	0.993015	0.499802	59.321922	83.116883	
0.001000	0.958381	0.575477	60.174476	81.318681	
0.001000	0.942566	0.427482	61.152601	84.615385	
0.001000	0.920582	0.522840	62.084462	82.217782	
0.001000	0.903100	0.417312	62.011764	85.414585	
0.001000	0.880296	0.473731	63.141894	84.115884	
0.001000	0.863340	0.493690	63.511995	82.917083	
0.001000	0.852659	0.414856	64.258806	86.313686	
0.001000	0.839628	0.439887	64.622299	85.714286	
0.001000	0.824948	0.415121	65.329456	87.012987	
0.001000	0.820313	0.477553	65.871390	83.816184	
0.001000	0.798273	0.364890	65.937479	87.512488	
0.000100	0.767743	0.357872	67.239442	88.711289	
0.000100	0.746440	0.349663	68.316701	88.611389	
0.000100	0.740822	0.347867	68.673584	88.511489	
0.000100	0.745506	0.349299	68.078779	88.811189	
0.000100	0.736645	0.359010	68.792545	89.110889	
0.000100	0.735952	0.360397	68.349746	89.410589	
0.000100	0.732714	0.353682	68.818981	89.010989	
0.000100	0.730668	0.358501	68.680193	89.210789	
0.000100	0.729545	0.359911	68.977596	88.811189	
0.000100	0.724185	0.364991	68.785936	89.110889	
0.000010	0.717114	0.362603	69.228736	88.911089	
0.000010	0.719821	0.361459	69.083339	89.310689	
0.000010	0.719736	0.361720	69.321261	88.911089	
0.000010	0.718971	0.364381	69.440222	89.210789	
0.000010	0.720207	0.364762	69.116384	89.110889	
