Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.420883	0.779665	46.593087	74.225774	
0.001000	1.142865	0.677061	55.197938	76.123876	
0.001000	1.076069	0.616573	57.537506	77.722278	
0.001000	1.046871	0.594430	58.581720	79.120879	
0.001000	1.019647	0.546688	59.117044	80.619381	
0.001000	0.995415	0.522462	60.372745	81.218781	
0.001000	0.979680	0.505904	60.689974	82.317682	
0.001000	0.966037	0.482423	60.941114	83.416584	
0.001000	0.950150	0.469511	62.038200	83.216783	
0.001000	0.939631	0.463652	62.289340	83.716284	
0.001000	0.921738	0.461727	63.227810	83.516484	
0.001000	0.923110	0.448282	63.029542	84.015984	
0.001000	0.900939	0.444600	63.664001	84.815185	
0.001000	0.891302	0.432976	64.166281	84.315684	
0.001000	0.886225	0.430208	64.410812	84.915085	
0.000100	0.878434	0.417486	64.628908	85.414586	
0.000100	0.877009	0.413233	64.701606	84.815185	
0.000100	0.867422	0.413182	65.184059	85.114885	
0.000100	0.873753	0.415402	64.820567	85.014985	
0.000100	0.865639	0.404385	65.078316	85.114885	
0.000100	0.870352	0.405199	64.840394	85.514486	
0.000100	0.866827	0.408733	64.787522	85.414585	
0.000100	0.864317	0.401834	64.946137	85.514486	
0.000100	0.871942	0.407545	64.899874	85.114885	
0.000100	0.861879	0.407596	65.217104	85.514486	
0.000010	0.860390	0.406715	65.263367	85.514486	
0.000010	0.865579	0.407719	65.151014	85.514486	
0.000010	0.863651	0.405976	65.316238	85.614386	
0.000010	0.863507	0.404288	64.893265	84.915085	
0.000010	0.861598	0.411482	65.507898	85.514486	
