Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.244137	0.667244	51.609279	75.824176	
0.001000	1.060519	0.568179	57.682903	78.721279	
0.001000	1.007529	0.526262	60.167867	81.218781	
0.001000	0.979797	0.513301	60.954332	82.317682	
0.001000	0.953464	0.493557	62.071244	81.718282	
0.001000	0.928750	0.458643	62.666050	82.617383	
0.001000	0.924829	0.499167	62.884145	83.216783	
0.001000	0.895906	0.439736	64.166281	83.716284	
0.001000	0.872580	0.416072	64.562818	85.314685	
0.001000	0.858524	0.476591	65.369110	82.717283	
0.001000	0.857000	0.405875	65.554160	84.915085	
0.001000	0.842722	0.404080	66.175401	85.314686	
0.001000	0.835231	0.407296	66.598374	85.614386	
0.001000	0.817308	0.454880	67.199789	84.715285	
0.001000	0.815691	0.388766	67.252660	86.613387	
0.000100	0.770826	0.387129	68.713238	87.012987	
0.000100	0.767638	0.390466	69.215518	86.413587	
0.000100	0.765677	0.386417	69.274998	86.613387	
0.000100	0.763766	0.380788	69.512920	86.813187	
0.000100	0.761910	0.382323	69.440222	86.413587	
0.000100	0.754001	0.381205	69.552574	86.013986	
0.000100	0.751494	0.388927	70.021810	86.213786	
0.000100	0.756752	0.393400	69.466658	86.213786	
0.000100	0.753188	0.387620	69.942502	86.713287	
0.000100	0.747164	0.381271	69.750843	86.313687	
0.000010	0.747047	0.384488	69.949111	86.513487	
0.000010	0.745753	0.379035	69.843368	86.813187	
0.000010	0.750150	0.378102	69.889631	86.213786	
0.000010	0.739145	0.379778	70.372084	86.413587	
0.000010	0.743474	0.381853	70.206860	87.112887	
