Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.435951	0.778448	46.546824	74.125874	
0.001000	1.144682	0.677633	56.202498	75.324675	
0.001000	1.065256	0.617348	58.522239	77.022977	
0.001000	1.027901	0.593801	59.956381	77.722278	
0.001000	0.999262	0.573053	60.650321	79.120879	
0.001000	0.976414	0.544837	61.879585	79.620380	
0.001000	0.960400	0.528769	62.077853	79.920080	
0.001000	0.941787	0.505288	62.824665	80.719281	
0.001000	0.930585	0.492724	63.571476	81.218781	
0.001000	0.918050	0.482806	64.040711	83.216783	
0.001000	0.899722	0.479373	64.820567	81.618382	
0.001000	0.895527	0.468076	64.794131	83.816184	
0.001000	0.873869	0.463051	65.402155	84.215784	
0.001000	0.872059	0.441966	65.534333	84.615385	
0.001000	0.856314	0.431531	66.089485	84.515484	
0.000100	0.858280	0.427342	66.274536	84.715285	
0.000100	0.853141	0.426790	65.805300	85.014985	
0.000100	0.843239	0.427585	66.862732	85.114885	
0.000100	0.844027	0.424930	67.027956	85.514486	
0.000100	0.842146	0.417937	66.386888	85.514485	
0.000100	0.845321	0.414631	66.816469	85.214785	
0.000100	0.842489	0.423156	66.604983	85.114885	
0.000100	0.840244	0.416144	66.690899	85.214785	
0.000100	0.850680	0.419670	66.400106	85.214785	
0.000100	0.835283	0.418761	66.783425	85.214785	
0.000010	0.837069	0.416693	67.001520	85.914086	
0.000010	0.837810	0.420039	66.915604	85.114885	
0.000010	0.841625	0.417434	66.690899	85.614386	
0.000010	0.839691	0.417914	66.889168	85.314685	
0.000010	0.834182	0.422063	66.975084	85.414585	
