Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.241329	0.664101	52.521314	76.423576	
0.001000	1.046320	0.584526	59.540017	78.821179	
0.001000	0.997850	0.571664	61.436785	78.821179	
0.001000	0.963527	0.530012	61.701143	81.418581	
0.001000	0.932503	0.514683	62.811447	81.518482	
0.001000	0.909465	0.470809	64.219153	83.116883	
0.001000	0.895459	0.506864	65.058489	81.418582	
0.001000	0.870186	0.456431	65.745820	83.316683	
0.001000	0.860640	0.449695	66.135748	84.015984	
0.001000	0.849023	0.440694	66.254709	83.716284	
0.001000	0.832897	0.433264	67.265878	84.115884	
0.001000	0.811801	0.436415	67.926773	85.614386	
0.001000	0.811046	0.448387	67.754940	83.916084	
0.001000	0.794701	0.424437	68.257220	84.815185	
0.001000	0.781634	0.472377	68.990814	84.015984	
0.000100	0.744901	0.404263	70.477827	85.314685	
0.000100	0.744488	0.406335	70.596788	84.815185	
0.000100	0.738030	0.394170	71.059414	85.814186	
0.000100	0.735359	0.399478	70.980107	85.814186	
0.000100	0.729580	0.396315	71.145331	85.314685	
0.000100	0.730559	0.394358	71.052805	85.414585	
0.000100	0.729967	0.394712	70.999934	84.915085	
0.000100	0.721061	0.388405	71.700482	85.714286	
0.000100	0.717190	0.387267	70.867755	85.414585	
0.000100	0.723471	0.385455	71.436125	85.414585	
0.000010	0.716423	0.390835	71.594739	85.714286	
0.000010	0.708772	0.397206	72.182936	85.514486	
0.000010	0.711380	0.392342	72.004494	85.414585	
0.000010	0.716470	0.386580	71.859097	85.914086	
0.000010	0.719498	0.391132	71.383253	85.714286	
