Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.299210	0.800315	52.752627	71.728272	
0.001000	1.100018	0.691142	58.608155	74.825175	
0.001000	1.040758	0.627553	60.557795	77.122877	
0.001000	1.006083	0.590610	61.833322	78.021978	
0.001000	0.975593	0.553011	63.313727	79.920080	
0.001000	0.949633	0.515284	64.437248	81.518482	
0.001000	0.935226	0.500663	64.549600	81.518482	
0.001000	0.917882	0.491369	65.659904	82.017982	
0.001000	0.896261	0.484832	66.512458	81.518482	
0.001000	0.886977	0.457570	66.466195	83.716284	
0.001000	0.873731	0.436542	67.166744	83.616384	
0.001000	0.863113	0.442673	67.906946	83.616384	
0.001000	0.843392	0.448653	68.389399	83.316683	
0.001000	0.835159	0.422877	68.422444	84.915085	
0.001000	0.825154	0.408627	68.772718	84.315684	
0.000100	0.809136	0.395739	69.896240	85.014985	
0.000100	0.809080	0.397315	69.962329	84.615385	
0.000100	0.808596	0.397093	69.849977	85.114885	
0.000100	0.801163	0.393057	70.206860	85.214785	
0.000100	0.800796	0.394184	70.570352	85.614386	
0.000100	0.802290	0.389919	70.272950	85.414585	
0.000100	0.796583	0.395814	70.464609	85.414585	
0.000100	0.790025	0.402242	70.345648	85.014985	
0.000100	0.797606	0.388449	70.200251	85.814186	
0.000100	0.794083	0.391287	70.451391	84.915085	
0.000010	0.792072	0.388317	70.451391	85.514485	
0.000010	0.793794	0.392687	70.563743	85.814186	
0.000010	0.786808	0.402826	70.629833	85.414585	
0.000010	0.793618	0.391716	70.537308	85.614386	
0.000010	0.791501	0.390870	70.715749	85.714286	
