Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.147318	0.640016	56.625471	76.723277	
0.001000	0.978152	0.529737	62.937017	79.820180	
0.001000	0.936141	0.507853	65.065098	82.417583	
0.001000	0.907287	0.483111	65.706166	82.117882	
0.001000	0.871831	0.463256	66.882559	82.517483	
0.001000	0.847444	0.478178	68.283656	82.417582	
0.001000	0.815301	0.440477	69.810323	83.916084	
0.001000	0.807413	0.454517	70.226687	84.215784	
0.001000	0.780719	0.438619	70.894191	84.715285	
0.001000	0.748331	0.437538	72.334942	84.215784	
0.001000	0.735946	0.446944	72.936356	83.116883	
0.001000	0.722445	0.413556	73.465072	85.814186	
0.001000	0.692809	0.432064	74.780252	84.415584	
0.001000	0.684336	0.432724	75.123918	84.915085	
0.001000	0.657209	0.409380	76.148305	84.615385	
0.000100	0.624326	0.400815	77.370960	85.014985	
0.000100	0.602595	0.396840	78.600225	85.314685	
0.000100	0.602093	0.394131	78.421783	85.314685	
0.000100	0.598897	0.389353	78.587007	86.413586	
0.000100	0.587089	0.396048	79.386690	85.314685	
0.000100	0.586859	0.389589	79.221466	85.914086	
0.000100	0.585837	0.397486	78.811711	85.414585	
0.000100	0.582202	0.391342	79.571740	85.814186	
0.000100	0.580267	0.389384	79.928623	86.913087	
0.000100	0.575009	0.390518	79.347036	86.513487	
0.000010	0.575601	0.395366	79.690701	86.213786	
0.000010	0.569599	0.389683	79.479215	86.213786	
0.000010	0.563651	0.386391	80.166546	86.813187	
0.000010	0.569174	0.386009	79.723746	86.313686	
0.000010	0.569412	0.388183	79.981495	86.313686	
