Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.431615	0.776351	46.355165	72.627373	
0.001000	1.147092	0.678215	56.063710	75.924076	
0.001000	1.066196	0.608218	58.621373	77.922078	
0.001000	1.031438	0.590651	60.128214	79.120879	
0.001000	1.006998	0.550768	60.121605	80.019980	
0.001000	0.977472	0.533414	61.925848	81.118881	
0.001000	0.962793	0.518016	62.176988	81.118881	
0.001000	0.947738	0.496913	62.659441	81.318681	
0.001000	0.931208	0.473550	63.756526	82.817183	
0.001000	0.920868	0.484755	63.459124	83.516484	
0.001000	0.905184	0.471413	64.701606	82.817183	
0.001000	0.901613	0.465644	64.840394	83.316684	
0.001000	0.877112	0.455945	65.884608	84.815185	
0.001000	0.875012	0.435440	65.514507	84.815185	
0.001000	0.864228	0.430143	65.765647	85.214785	
0.000100	0.860425	0.420227	66.248100	85.614386	
0.000100	0.855150	0.420491	66.267927	85.314685	
0.000100	0.847468	0.421299	66.961866	85.714286	
0.000100	0.851397	0.419597	66.836296	85.714286	
0.000100	0.846419	0.412355	66.908995	85.814186	
0.000100	0.852989	0.408912	66.492631	85.714286	
0.000100	0.849432	0.415487	66.545503	85.814186	
0.000100	0.841252	0.409451	66.756989	86.313687	
0.000100	0.852694	0.412324	66.340625	85.914086	
0.000100	0.838537	0.412483	67.014738	86.113886	
0.000010	0.842535	0.412350	67.107263	86.313686	
0.000010	0.844966	0.414033	66.624810	85.914086	
0.000010	0.845453	0.410479	66.730553	86.213786	
0.000010	0.847048	0.409891	66.644637	86.013986	
0.000010	0.841835	0.417693	66.889168	86.313686	
