Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.214904	0.654657	52.990549	76.823177	
0.001000	1.005006	0.596519	60.749455	79.820180	
0.001000	0.953038	0.497387	62.732139	83.116883	
0.001000	0.916708	0.471989	63.981231	83.116883	
0.001000	0.889619	0.467908	64.813958	84.215784	
0.001000	0.861808	0.459170	66.109312	84.915085	
0.001000	0.840864	0.440661	67.351794	85.014985	
0.001000	0.816850	0.419395	67.933382	86.313686	
0.001000	0.795385	0.465607	68.607495	85.314685	
0.001000	0.775357	0.418026	69.605446	85.414586	
0.001000	0.753435	0.417779	69.823541	86.813187	
0.001000	0.737383	0.435862	70.524090	86.313686	
0.001000	0.726332	0.462722	71.052805	86.413586	
0.001000	0.712381	0.469297	71.905360	84.715285	
0.001000	0.693401	0.445836	72.222589	86.413586	
0.000100	0.640526	0.369809	74.978521	88.011988	
0.000100	0.624875	0.380196	75.216443	87.412587	
0.000100	0.624482	0.368989	75.190007	88.411588	
0.000100	0.611296	0.372683	75.718723	88.511489	
0.000100	0.601625	0.360936	76.571278	88.211788	
0.000100	0.603028	0.369955	76.214394	88.311688	
0.000100	0.600102	0.369176	76.280484	87.612388	
0.000100	0.593142	0.370863	76.154914	88.211788	
0.000100	0.598163	0.367268	76.419272	88.311688	
0.000100	0.585560	0.375944	76.591104	88.511489	
0.000010	0.582393	0.370673	77.192519	88.311688	
0.000010	0.582849	0.369823	77.133038	88.311688	
0.000010	0.579510	0.369507	76.954597	88.411588	
0.000010	0.583094	0.373934	76.961205	88.711289	
0.000010	0.581556	0.363268	77.265217	88.511489	
