Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.451685	0.808164	45.243129	73.526474	
0.001000	1.198202	0.688179	52.860729	75.024975	
0.001000	1.124557	0.638271	55.100423	76.023976	
0.001000	1.088578	0.600096	56.018763	77.722278	
0.001000	1.063466	0.575629	57.042812	78.821179	
0.001000	1.043406	0.557639	57.379757	79.620380	
0.001000	1.029601	0.524513	58.502907	80.519481	
0.001000	1.006154	0.513532	58.615222	80.819181	
0.001000	0.994428	0.497096	59.606237	81.618382	
0.001000	0.985656	0.482862	59.401427	82.317682	
0.001000	0.966772	0.453971	60.405655	84.215784	
0.001000	0.966357	0.448375	60.445296	83.516484	
0.001000	0.951133	0.452219	60.907770	84.515485	
0.001000	0.948678	0.462485	60.967230	83.916084	
0.001000	0.941691	0.446333	60.954017	84.215784	
0.000100	0.930626	0.445680	61.337209	84.215784	
0.000100	0.925382	0.434739	61.581660	84.515485	
0.000100	0.926611	0.422504	61.608087	84.915085	
0.000100	0.918009	0.428096	61.911998	85.114885	
0.000100	0.925302	0.425841	61.641121	85.514486	
0.000100	0.918483	0.433178	62.466966	84.615385	
0.000100	0.922252	0.420887	61.852537	85.014985	
0.000100	0.922022	0.427996	62.308404	84.815185	
0.000100	0.911975	0.426494	62.242336	84.915085	
0.000100	0.917581	0.425931	61.892178	85.014985	
0.000010	0.920594	0.423518	62.096987	84.915085	
0.000010	0.919204	0.427796	62.083774	84.915085	
0.000010	0.922321	0.416394	61.839323	84.715285	
0.000010	0.920631	0.420573	61.925211	84.615385	
0.000010	0.917493	0.423190	61.826110	84.815185	
