Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.255013	0.635685	50.687104	77.422577	
0.001000	1.062979	0.579310	56.626586	79.420579	
0.001000	1.017747	1.013484	58.813425	66.733267	
0.001000	0.975914	0.603422	59.824260	79.620380	
0.001000	0.959735	0.548321	60.511364	80.819181	
0.001000	0.929094	0.444553	61.409884	85.314685	
0.001000	0.918174	0.439482	61.865751	84.515485	
0.001000	0.899538	0.437273	62.334831	85.414585	
0.001000	0.876293	0.493946	63.722252	85.214785	
0.001000	0.855247	0.512821	64.131871	83.916084	
0.001000	0.848067	0.424324	64.640592	87.412588	
0.001000	0.832735	0.444415	65.155920	86.213786	
0.001000	0.823482	0.420757	65.202167	86.313686	
0.001000	0.814362	0.400904	65.406977	86.613387	
0.001000	0.806308	0.448200	66.239429	86.113886	
0.000100	0.761207	0.364296	67.957188	88.311689	
0.000100	0.749999	0.358924	68.406448	87.812188	
0.000100	0.745394	0.361678	69.014271	88.211788	
0.000100	0.740909	0.356650	68.598044	88.211788	
0.000100	0.742304	0.357463	68.571617	88.211788	
0.000100	0.736127	0.362501	69.133192	88.211788	
0.000100	0.731097	0.364017	69.073732	88.011988	
0.000100	0.726521	0.374641	69.390856	87.912088	
0.000100	0.727064	0.355639	69.390856	88.311688	
0.000100	0.729708	0.356057	69.133192	88.911089	
0.000010	0.720986	0.365545	69.384249	88.511489	
0.000010	0.720458	0.357801	69.859937	89.310689	
0.000010	0.725160	0.350716	69.483351	88.911089	
0.000010	0.719645	0.357819	69.760835	88.811189	
0.000010	0.719720	0.369935	69.714588	88.111888	
