Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.289844	0.804019	53.301170	70.829171	
0.001000	1.086264	0.694228	59.460710	73.626374	
0.001000	1.033063	0.631202	60.597449	76.323676	
0.001000	0.997603	0.587989	62.295949	79.720280	
0.001000	0.970718	0.550778	63.578085	80.419580	
0.001000	0.939727	0.501547	64.754478	81.518482	
0.001000	0.921697	0.505933	65.256758	81.718282	
0.001000	0.909940	0.477955	66.135748	83.516483	
0.001000	0.885417	0.460261	67.120481	83.116883	
0.001000	0.870835	0.450453	67.305532	84.215784	
0.001000	0.859630	0.431919	67.629370	84.315684	
0.001000	0.848755	0.429344	68.514969	85.514486	
0.001000	0.833575	0.429821	68.871852	85.114885	
0.001000	0.823024	0.431145	69.486485	85.214785	
0.001000	0.815810	0.393665	69.175864	85.914086	
0.000100	0.799345	0.389005	70.173815	85.514486	
0.000100	0.801958	0.390942	70.325821	85.814186	
0.000100	0.797510	0.389391	70.358866	85.514486	
0.000100	0.790825	0.388042	70.781839	85.914086	
0.000100	0.786720	0.389011	71.026370	85.314686	
0.000100	0.791579	0.382129	70.801665	86.013986	
0.000100	0.780823	0.386351	71.204811	86.013986	
0.000100	0.780342	0.384978	71.079241	85.614386	
0.000100	0.788262	0.383138	70.847928	86.113886	
0.000100	0.778536	0.386896	71.363426	86.313686	
0.000010	0.780905	0.387391	71.138722	86.013986	
0.000010	0.779752	0.381852	71.343599	86.413586	
0.000010	0.773744	0.385724	71.336990	86.413586	
0.000010	0.777188	0.383605	71.475778	85.914086	
0.000010	0.780105	0.385171	70.927235	86.513487	
