Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.120850	0.636572	57.689512	77.022977	
0.001000	0.961271	0.528345	63.730091	80.819181	
0.001000	0.895129	0.473887	66.704117	83.616384	
0.001000	0.857241	0.455372	67.920164	83.216783	
0.001000	0.809541	0.439885	69.935893	83.116883	
0.001000	0.772560	0.423880	71.687265	84.715285	
0.001000	0.730263	0.466808	73.458463	83.516484	
0.001000	0.694828	0.434248	74.542330	84.115884	
0.001000	0.665939	0.371511	75.989690	86.313686	
0.001000	0.629688	0.406566	77.225563	86.213786	
0.001000	0.597911	0.372373	78.401956	86.113886	
0.001000	0.574786	0.429176	79.618003	85.314685	
0.001000	0.559127	0.380709	80.285507	87.212787	
0.001000	0.532561	0.371640	81.138061	86.613387	
0.001000	0.514232	0.378908	81.871654	87.212787	
0.000100	0.455859	0.344476	84.316965	87.912088	
0.000100	0.429047	0.343207	85.275263	88.111888	
0.000100	0.424546	0.348187	85.579274	87.612388	
0.000100	0.425977	0.341643	85.387615	87.812188	
0.000100	0.412050	0.339117	85.982420	88.411589	
0.000100	0.412477	0.333133	85.493358	88.111888	
0.000100	0.405883	0.339604	85.856850	88.011988	
0.000100	0.405411	0.336990	85.863459	89.010989	
0.000100	0.401114	0.332864	86.299650	88.911089	
0.000100	0.395027	0.334847	86.497918	88.011988	
0.000010	0.382935	0.333347	86.735840	88.811189	
0.000010	0.394784	0.329876	86.438438	88.211788	
0.000010	0.393508	0.328722	86.471482	88.811189	
0.000010	0.391934	0.330790	86.491309	88.411589	
0.000010	0.386537	0.328016	86.696187	88.411589	
