Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.281241	0.794512	53.301170	71.228771	
0.001000	1.086234	0.687318	59.169916	74.725275	
0.001000	1.036417	0.646179	60.974159	76.123876	
0.001000	0.998638	0.605345	62.024982	78.221778	
0.001000	0.970032	0.582314	63.174939	78.821179	
0.001000	0.941986	0.545717	64.615690	80.519481	
0.001000	0.929608	0.526584	65.091534	80.619381	
0.001000	0.914439	0.514301	65.884608	80.719281	
0.001000	0.898974	0.517327	66.122530	81.318681	
0.001000	0.881763	0.489710	66.836296	81.918082	
0.001000	0.869207	0.475586	67.431102	81.918082	
0.001000	0.863603	0.464360	67.781376	82.917083	
0.001000	0.846311	0.448994	68.429053	83.616384	
0.001000	0.828719	0.444073	68.779327	84.015984	
0.001000	0.819502	0.429418	69.321261	84.115884	
0.000100	0.803478	0.417351	70.094508	84.115884	
0.000100	0.799705	0.418516	70.352257	84.215784	
0.000100	0.805317	0.428167	70.286167	83.916084	
0.000100	0.792707	0.433179	70.570352	83.716284	
0.000100	0.797424	0.422684	70.299385	84.115884	
0.000100	0.794960	0.430224	70.484436	83.616384	
0.000100	0.788871	0.410631	70.814883	84.615385	
0.000100	0.792031	0.421112	70.715749	83.316684	
0.000100	0.786871	0.411360	70.728967	84.615385	
0.000100	0.793176	0.417765	70.405129	84.115884	
0.000010	0.789914	0.416965	70.656269	84.315684	
0.000010	0.792456	0.424676	70.933844	83.816184	
0.000010	0.789201	0.414676	71.026370	84.015984	
0.000010	0.787914	0.413571	70.649660	84.215784	
0.000010	0.788969	0.423183	70.940453	84.315684	
