Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.136126	0.606057	56.751041	78.121878	
0.001000	0.966701	0.542651	63.069196	80.519481	
0.001000	0.904244	0.492438	65.402155	82.517483	
0.001000	0.854448	0.469562	67.609543	83.316684	
0.001000	0.809467	0.447066	69.142819	83.816184	
0.001000	0.784238	0.455690	70.583570	83.416583	
0.001000	0.740604	0.467536	72.506774	83.816184	
0.001000	0.707431	0.440036	73.855000	85.314685	
0.001000	0.672964	0.441758	75.368449	85.814186	
0.001000	0.640826	0.400928	76.525015	85.414585	
0.001000	0.611019	0.429510	77.589056	86.013986	
0.001000	0.590888	0.465231	78.587007	85.614386	
0.001000	0.567803	0.387019	79.373472	87.612388	
0.001000	0.552510	0.431618	80.516820	86.113886	
0.001000	0.536040	0.401730	80.629172	86.813187	
0.000100	0.468661	0.372057	83.636243	87.912088	
0.000100	0.448619	0.369852	84.396273	88.111888	
0.000100	0.441573	0.386126	84.673848	88.111888	
0.000100	0.434661	0.378011	85.156302	87.812188	
0.000100	0.437434	0.368238	84.977860	88.811189	
0.000100	0.423616	0.376344	85.235609	88.211788	
0.000100	0.415887	0.370156	85.896504	88.511489	
0.000100	0.418849	0.383164	85.347961	88.711289	
0.000100	0.410089	0.387696	85.843632	88.011988	
0.000100	0.418143	0.373859	85.638755	88.711289	
0.000010	0.396729	0.373254	86.200515	88.911089	
0.000010	0.402867	0.372621	86.114599	88.711289	
0.000010	0.398348	0.369223	86.259996	88.911089	
0.000010	0.397907	0.376371	86.213733	88.911089	
0.000010	0.406496	0.372531	85.837023	88.811189	
