Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.123761	0.833026	64.578133	70.629371	
0.001000	0.831472	0.735155	71.155766	74.025974	
0.001000	0.745941	0.671349	73.926610	76.223776	
0.001000	0.705408	0.622526	75.237144	78.021978	
0.001000	0.656281	0.587183	76.547678	78.721279	
0.001000	0.622219	0.562039	77.508737	78.721279	
0.001000	0.605812	0.540188	78.020469	81.118881	
0.001000	0.577348	0.522580	79.181228	81.318681	
0.001000	0.561416	0.511346	79.630554	81.118881	
0.001000	0.541542	0.493158	80.916126	82.217782	
0.001000	0.522064	0.478659	81.340489	82.917083	
0.001000	0.498294	0.470123	82.326510	83.316684	
0.001000	0.480861	0.458550	82.813280	84.515485	
0.001000	0.474049	0.443682	82.451323	84.615385	
0.001000	0.461349	0.430786	83.424863	84.715285	
0.000100	0.442289	0.431211	84.223664	85.214785	
0.000100	0.446009	0.430129	83.562157	85.014985	
0.000100	0.442704	0.432742	84.186221	85.014985	
0.000100	0.444090	0.430614	83.774338	84.615385	
0.000100	0.435820	0.425852	84.298552	85.014985	
0.000100	0.439598	0.435664	83.999001	85.314685	
0.000100	0.445981	0.432658	83.587119	84.515485	
0.000100	0.439046	0.431349	84.423365	85.114885	
0.000100	0.432912	0.431339	84.048927	85.014985	
0.000100	0.432577	0.430102	84.298552	85.314685	
0.000010	0.437112	0.430652	84.298552	84.715285	
0.000010	0.434624	0.428391	84.385921	85.114885	
0.000010	0.430256	0.425418	84.610584	85.114885	
0.000010	0.434095	0.424405	84.410884	85.414586	
0.000010	0.436615	0.426265	84.261108	84.815185	
