Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.894908	0.679722	69.058912	75.624376	
0.001000	0.668495	0.588936	75.961058	78.321679	
0.001000	0.600060	0.542958	78.057913	80.219780	
0.001000	0.543549	0.510224	80.217174	81.218781	
0.001000	0.503492	0.493631	81.977034	81.218781	
0.001000	0.483980	0.499666	82.376435	81.418582	
0.001000	0.467009	0.470821	82.438842	83.716284	
0.001000	0.440594	0.466428	83.799301	83.016983	
0.001000	0.424003	0.465128	84.360959	82.517482	
0.001000	0.402599	0.455799	85.434348	83.716284	
0.001000	0.390978	0.458273	85.783824	84.015984	
0.001000	0.373727	0.438379	86.270594	84.215784	
0.001000	0.350973	0.422015	87.319021	84.215784	
0.001000	0.343228	0.426563	87.219171	85.514486	
0.001000	0.330177	0.421297	87.805791	85.414585	
0.000100	0.306228	0.400238	88.879181	85.614386	
0.000100	0.294399	0.387665	89.553170	85.914086	
0.000100	0.286202	0.401840	90.039940	86.113886	
0.000100	0.291075	0.388326	89.865202	86.813187	
0.000100	0.275895	0.408337	90.202197	86.513487	
0.000100	0.290947	0.389116	89.528208	86.813187	
0.000100	0.281814	0.396263	89.890165	87.012987	
0.000100	0.283112	0.404983	89.328507	86.513487	
0.000100	0.280670	0.394589	89.990015	86.213786	
0.000100	0.270039	0.395096	90.439341	86.213786	
0.000010	0.271324	0.393595	90.564154	87.312687	
0.000010	0.269807	0.391622	90.701448	86.513486	
0.000010	0.267429	0.397242	90.589116	86.013986	
0.000010	0.265542	0.388883	90.564154	86.513486	
0.000010	0.275534	0.390092	90.139790	86.813187	
