group,model,seed,metric,value
baseline,resnet18,42,accuracy,0.8741258741258742
baseline,resnet18,42,balanced_accuracy,0.7528286191148743
baseline,resnet18,42,macro_precision,0.7850618336196317
baseline,resnet18,42,macro_recall,0.7528286191148743
baseline,resnet18,42,macro_f1,0.7647454879544661
baseline,resnet18,42,macro_auc_ovr,0.9745663346574723
baseline,resnet18,123,accuracy,0.8681318681318682
baseline,resnet18,123,balanced_accuracy,0.7487177297480635
baseline,resnet18,123,macro_precision,0.798888737362752
baseline,resnet18,123,macro_recall,0.7487177297480635
baseline,resnet18,123,macro_f1,0.7671384197664696
baseline,resnet18,123,macro_auc_ovr,0.9753270859817693
baseline,resnet18,2024,accuracy,0.8601398601398601
baseline,resnet18,2024,balanced_accuracy,0.7366248741726537
baseline,resnet18,2024,macro_precision,0.7298833987035392
baseline,resnet18,2024,macro_recall,0.7366248741726537
baseline,resnet18,2024,macro_f1,0.7282036037629459
baseline,resnet18,2024,macro_auc_ovr,0.9752988367442448
baseline,resnet18,3407,accuracy,0.8641358641358642
baseline,resnet18,3407,balanced_accuracy,0.689231671880673
baseline,resnet18,3407,macro_precision,0.7612858294723445
baseline,resnet18,3407,macro_recall,0.689231671880673
baseline,resnet18,3407,macro_f1,0.7138261478830098
baseline,resnet18,3407,macro_auc_ovr,0.971937319198144
baseline,resnet18,7777,accuracy,0.8871128871128872
baseline,resnet18,7777,balanced_accuracy,0.7754340741351455
baseline,resnet18,7777,macro_precision,0.8209018572104699
baseline,resnet18,7777,macro_recall,0.7754340741351455
baseline,resnet18,7777,macro_f1,0.7893619548519767
baseline,resnet18,7777,macro_auc_ovr,0.9767723420285158
baseline,resnet50,42,accuracy,0.8911088911088911
baseline,resnet50,42,balanced_accuracy,0.7636885341440419
baseline,resnet50,42,macro_precision,0.7936976811360791
baseline,resnet50,42,macro_recall,0.7636885341440419
baseline,resnet50,42,macro_f1,0.773339452632885
baseline,resnet50,42,macro_auc_ovr,0.9797498279260768
baseline,resnet50,123,accuracy,0.9000999000999002
baseline,resnet50,123,balanced_accuracy,0.7878621010311593
baseline,resnet50,123,macro_precision,0.8211121397659434
baseline,resnet50,123,macro_recall,0.7878621010311593
baseline,resnet50,123,macro_f1,0.8028459856006477
baseline,resnet50,123,macro_auc_ovr,0.9833465962796516
baseline,resnet50,2024,accuracy,0.8841158841158842
baseline,resnet50,2024,balanced_accuracy,0.7561927458817223
baseline,resnet50,2024,macro_precision,0.8263726507699831
baseline,resnet50,2024,macro_recall,0.7561927458817223
baseline,resnet50,2024,macro_f1,0.7826693514724864
baseline,resnet50,2024,macro_auc_ovr,0.9789908387694036
baseline,resnet50,3407,accuracy,0.8931068931068931
baseline,resnet50,3407,balanced_accuracy,0.7603996448454531
baseline,resnet50,3407,macro_precision,0.8194051589751802
baseline,resnet50,3407,macro_recall,0.7603996448454531
baseline,resnet50,3407,macro_f1,0.7871476949304859
baseline,resnet50,3407,macro_auc_ovr,0.9811738579471625
baseline,resnet50,7777,accuracy,0.8981018981018981
baseline,resnet50,7777,balanced_accuracy,0.7926736427736607
baseline,resnet50,7777,macro_precision,0.8438038661673259
baseline,resnet50,7777,macro_recall,0.7926736427736607
baseline,resnet50,7777,macro_f1,0.8136276126307099
baseline,resnet50,7777,macro_auc_ovr,0.9807970973399535
baseline,efficientnet_b0,42,accuracy,0.8561438561438561
baseline,efficientnet_b0,42,balanced_accuracy,0.629231869365217
baseline,efficientnet_b0,42,macro_precision,0.7356252023127728
baseline,efficientnet_b0,42,macro_recall,0.629231869365217
baseline,efficientnet_b0,42,macro_f1,0.6572780709790662
baseline,efficientnet_b0,42,macro_auc_ovr,0.9687919931800454
baseline,efficientnet_b0,123,accuracy,0.8501498501498501
baseline,efficientnet_b0,123,balanced_accuracy,0.6470841873158854
baseline,efficientnet_b0,123,macro_precision,0.722694867054355
baseline,efficientnet_b0,123,macro_recall,0.6470841873158854
baseline,efficientnet_b0,123,macro_f1,0.6607797182958617
baseline,efficientnet_b0,123,macro_auc_ovr,0.9697270791685398
baseline,efficientnet_b0,2024,accuracy,0.8531468531468531
baseline,efficientnet_b0,2024,balanced_accuracy,0.6233710546075147
baseline,efficientnet_b0,2024,macro_precision,0.6449649023587997
baseline,efficientnet_b0,2024,macro_recall,0.6233710546075147
baseline,efficientnet_b0,2024,macro_f1,0.6248193401172599
baseline,efficientnet_b0,2024,macro_auc_ovr,0.9608179300962371
baseline,efficientnet_b0,3407,accuracy,0.8521478521478522
baseline,efficientnet_b0,3407,balanced_accuracy,0.6312045051886647
baseline,efficientnet_b0,3407,macro_precision,0.7308345049347559
baseline,efficientnet_b0,3407,macro_recall,0.6312045051886647
baseline,efficientnet_b0,3407,macro_f1,0.6557674268470916
baseline,efficientnet_b0,3407,macro_auc_ovr,0.9681503094251507
baseline,efficientnet_b0,7777,accuracy,0.8551448551448552
baseline,efficientnet_b0,7777,balanced_accuracy,0.6684022502604241
baseline,efficientnet_b0,7777,macro_precision,0.7573015296344101
baseline,efficientnet_b0,7777,macro_recall,0.6684022502604241
baseline,efficientnet_b0,7777,macro_f1,0.6899187151731374
baseline,efficientnet_b0,7777,macro_auc_ovr,0.9677841849606893
A,resnet18,42,accuracy,0.8791208791208791
A,resnet18,42,balanced_accuracy,0.7242558820357149
A,resnet18,42,macro_precision,0.8151103021063513
A,resnet18,42,macro_recall,0.7242558820357149
A,resnet18,42,macro_f1,0.7628677648102269
A,resnet18,42,macro_auc_ovr,0.9748738181546477
A,resnet18,123,accuracy,0.8851148851148851
A,resnet18,123,balanced_accuracy,0.7648633427670182
A,resnet18,123,macro_precision,0.8341297587296413
A,resnet18,123,macro_recall,0.7648633427670182
A,resnet18,123,macro_f1,0.7916081725115564
A,resnet18,123,macro_auc_ovr,0.9738281187992347
A,resnet18,2024,accuracy,0.8811188811188811
A,resnet18,2024,balanced_accuracy,0.7573490040771583
A,resnet18,2024,macro_precision,0.8031910124492102
A,resnet18,2024,macro_recall,0.7573490040771583
A,resnet18,2024,macro_f1,0.7787408189890982
A,resnet18,2024,macro_auc_ovr,0.9750045048306129
A,resnet18,3407,accuracy,0.8761238761238761
A,resnet18,3407,balanced_accuracy,0.7411425195547677
A,resnet18,3407,macro_precision,0.8315744659603224
A,resnet18,3407,macro_recall,0.7411425195547677
A,resnet18,3407,macro_f1,0.776950406207346
A,resnet18,3407,macro_auc_ovr,0.973614634406224
A,resnet18,7777,accuracy,0.8751248751248751
A,resnet18,7777,balanced_accuracy,0.7229053967554256
A,resnet18,7777,macro_precision,0.8123017301381569
A,resnet18,7777,macro_recall,0.7229053967554256
A,resnet18,7777,macro_f1,0.7521124332830601
A,resnet18,7777,macro_auc_ovr,0.9762651056259763
A,resnet50,42,accuracy,0.8901098901098901
A,resnet50,42,balanced_accuracy,0.7497821351890803
A,resnet50,42,macro_precision,0.8803813219783178
A,resnet50,42,macro_recall,0.7497821351890803
A,resnet50,42,macro_f1,0.800187444166414
A,resnet50,42,macro_auc_ovr,0.978221005078259
A,resnet50,123,accuracy,0.8941058941058941
A,resnet50,123,balanced_accuracy,0.765948926008618
A,resnet50,123,macro_precision,0.8465296020039403
A,resnet50,123,macro_recall,0.765948926008618
A,resnet50,123,macro_f1,0.7949181004935274
A,resnet50,123,macro_auc_ovr,0.9852609146260273
A,resnet50,2024,accuracy,0.8821178821178821
A,resnet50,2024,balanced_accuracy,0.7613832214507436
A,resnet50,2024,macro_precision,0.8172455150399747
A,resnet50,2024,macro_recall,0.7613832214507436
A,resnet50,2024,macro_f1,0.784996895891516
A,resnet50,2024,macro_auc_ovr,0.982858354062608
A,resnet50,3407,accuracy,0.8891108891108891
A,resnet50,3407,balanced_accuracy,0.7738119095056769
A,resnet50,3407,macro_precision,0.8253559322999762
A,resnet50,3407,macro_recall,0.7738119095056769
A,resnet50,3407,macro_f1,0.7978571845345435
A,resnet50,3407,macro_auc_ovr,0.9843548033638151
A,resnet50,7777,accuracy,0.8981018981018981
A,resnet50,7777,balanced_accuracy,0.7842285028061449
A,resnet50,7777,macro_precision,0.8563413467610871
A,resnet50,7777,macro_recall,0.7842285028061449
A,resnet50,7777,macro_f1,0.8092326395547771
A,resnet50,7777,macro_auc_ovr,0.9849569657229288
A,efficientnet_b0,42,accuracy,0.8551448551448552
A,efficientnet_b0,42,balanced_accuracy,0.6907372015169574
A,efficientnet_b0,42,macro_precision,0.764356801182547
A,efficientnet_b0,42,macro_recall,0.6907372015169574
A,efficientnet_b0,42,macro_f1,0.7149811534884318
A,efficientnet_b0,42,macro_auc_ovr,0.9662680114503629
A,efficientnet_b0,123,accuracy,0.8511488511488512
