model,metric,group,n,mean,std,ci95_low,ci95_high
efficientnet_b0,accuracy,A,5,0.8585414585414586,0.0059773327878727255,0.851119619613474,0.8659632974694431
efficientnet_b0,accuracy,B,5,0.8533466533466534,0.002946629611139406,0.8496879294424604,0.8570053772508464
efficientnet_b0,accuracy,C,5,0.8577422577422578,0.002071572562769988,0.8551700606713996,0.860314454813116
efficientnet_b0,accuracy,D,5,0.8561438561438562,0.0023428650148967977,0.8532348050022077,0.8590529072855048
efficientnet_b0,accuracy,E,5,0.8597402597402597,0.005807968772726694,0.8525287140124732,0.8669518054680462
efficientnet_b0,accuracy,F,5,0.8601398601398602,0.005142672398095431,0.8537543889685889,0.8665253313111315
efficientnet_b0,accuracy,G,5,0.8543456543456542,0.006133898674528965,0.8467294131928618,0.8619618954984467
efficientnet_b0,accuracy,H,5,0.8655344655344654,0.005024885650333368,0.8592952459273557,0.8717736851415752
efficientnet_b0,accuracy,I,5,0.8585414585414586,0.008316345809497486,0.8482153513531928,0.8688675657297243
efficientnet_b0,accuracy,baseline,5,0.8533466533466534,0.0023850821950676068,0.8503851826522811,0.8563081240410256
efficientnet_b0,balanced_accuracy,A,5,0.679100491391262,0.02533939189807537,0.6476374807350457,0.7105635020474784
efficientnet_b0,balanced_accuracy,B,5,0.6761930669667328,0.02110879663790578,0.6499830341360404,0.7024030997974251
efficientnet_b0,balanced_accuracy,C,5,0.6807937052284931,0.015623259096723808,0.6613948668734817,0.7001925435835046
efficientnet_b0,balanced_accuracy,D,5,0.6797389917212546,0.018449707302931665,0.6568306543858072,0.702647329056702
efficientnet_b0,balanced_accuracy,E,5,0.702334507261562,0.015349235827817675,0.6832759137342214,0.7213931007889026
efficientnet_b0,balanced_accuracy,F,5,0.6911804414207673,0.017156755674195386,0.6698775155741407,0.7124833672673939
efficientnet_b0,balanced_accuracy,G,5,0.6895992607034896,0.011452976717024383,0.6753785118416945,0.7038200095652848
efficientnet_b0,balanced_accuracy,H,5,0.6871254294770954,0.010977702290204037,0.6734948117603501,0.7007560471938408
efficientnet_b0,balanced_accuracy,I,5,0.6830458631614403,0.01896382488700616,0.6594991645310042,0.7065925617918765
efficientnet_b0,balanced_accuracy,baseline,5,0.6398587733475412,0.018211322001407005,0.6172464304586979,0.6624711162363844
efficientnet_b0,macro_auc_ovr,A,5,0.969806094950402,0.00272370416782338,0.9664241695434582,0.9731880203573459
efficientnet_b0,macro_auc_ovr,B,5,0.9703369733358734,0.0010658510611219363,0.969013544445831,0.9716604022259159
efficientnet_b0,macro_auc_ovr,C,5,0.9726632366313763,0.0006180158420337597,0.9718958686100034,0.9734306046527492
efficientnet_b0,macro_auc_ovr,D,5,0.9707532433281789,0.0010516160661575508,0.9694474895188984,0.9720589971374595
efficientnet_b0,macro_auc_ovr,E,5,0.9725706127869571,0.0021950535299264987,0.9698450938447173,0.9752961317291969
efficientnet_b0,macro_auc_ovr,F,5,0.9711696048511351,0.0009743152886093455,0.9699598326343694,0.9723793770679009
efficientnet_b0,macro_auc_ovr,G,5,0.9698019153101894,0.0028538215725102305,0.9662584278063062,0.9733454028140727
efficientnet_b0,macro_auc_ovr,H,5,0.9739648231415761,0.001317440719340324,0.9723290044306035,0.9756006418525486
efficientnet_b0,macro_auc_ovr,I,5,0.971986974363457,0.0019564761276180667,0.9695576883924486,0.9744162603344655
efficientnet_b0,macro_auc_ovr,baseline,5,0.9670542993661325,0.003563341281865044,0.9626298267831275,0.9714787719491376
efficientnet_b0,macro_f1,A,5,0.7126550446561095,0.02256104697648442,0.6846418048636249,0.7406682844485941
efficientnet_b0,macro_f1,B,5,0.7043329691616662,0.025935383058274523,0.6721299377385829,0.7365360005847496
efficientnet_b0,macro_f1,C,5,0.7037620468590114,0.008256237088273314,0.6935105745058677,0.7140135192121552
efficientnet_b0,macro_f1,D,5,0.7028933545766991,0.01539843415849894,0.6837736732533799,0.7220130359000183
efficientnet_b0,macro_f1,E,5,0.7235551468602621,0.01499707793628938,0.7049338151085156,0.7421764786120086
efficientnet_b0,macro_f1,F,5,0.7176028014714657,0.022378551674211176,0.6898161595256551,0.7453894434172763
efficientnet_b0,macro_f1,G,5,0.7125992225309772,0.012394926707123418,0.6972088882783677,0.7279895567835867
efficientnet_b0,macro_f1,H,5,0.711002331422508,0.013591655502188629,0.6941260621094523,0.7278786007355638
efficientnet_b0,macro_f1,I,5,0.7033373699004409,0.020139213807830934,0.678331233163129,0.7283435066377528
efficientnet_b0,macro_f1,baseline,5,0.6577126542824834,0.023089933569359698,0.6290427150484929,0.6863825935164739
efficientnet_b0,macro_precision,A,5,0.7755758380025988,0.017085113859091894,0.7543618672185521,0.7967898087866454
efficientnet_b0,macro_precision,B,5,0.7997859135056096,0.012776756691584186,0.7839214747078604,0.8156503523033587
efficientnet_b0,macro_precision,C,5,0.7467643006816007,0.0069488762756449995,0.73813613118216,0.7553924701810414
efficientnet_b0,macro_precision,D,5,0.7531272158902359,0.01914046789176772,0.7293611860002528,0.776893245780219
efficientnet_b0,macro_precision,E,5,0.7676361675621726,0.015481578065811182,0.7484132494424737,0.7868590856818715
efficientnet_b0,macro_precision,F,5,0.7630071392393992,0.02894304748440523,0.7270695991797111,0.7989446792990873
efficientnet_b0,macro_precision,G,5,0.7763704298110451,0.022094442306910215,0.7489365562381645,0.8038043033839257
efficientnet_b0,macro_precision,H,5,0.763969733139818,0.025924275986710044,0.7317804929676217,0.7961589733120142
efficientnet_b0,macro_precision,I,5,0.7503282578807083,0.01990442190266331,0.7256136537991128,0.7750428619623039
efficientnet_b0,macro_precision,baseline,5,0.7182842012590187,0.04294108148798321,0.6649658063314557,0.7716025961865817
efficientnet_b0,macro_recall,A,5,0.679100491391262,0.02533939189807537,0.6476374807350457,0.7105635020474784
efficientnet_b0,macro_recall,B,5,0.6761930669667328,0.02110879663790578,0.6499830341360404,0.7024030997974251
efficientnet_b0,macro_recall,C,5,0.6807937052284931,0.015623259096723808,0.6613948668734817,0.7001925435835046
efficientnet_b0,macro_recall,D,5,0.6797389917212546,0.018449707302931665,0.6568306543858072,0.702647329056702
efficientnet_b0,macro_recall,E,5,0.702334507261562,0.015349235827817675,0.6832759137342214,0.7213931007889026
efficientnet_b0,macro_recall,F,5,0.6911804414207673,0.017156755674195386,0.6698775155741407,0.7124833672673939
efficientnet_b0,macro_recall,G,5,0.6895992607034896,0.011452976717024383,0.6753785118416945,0.7038200095652848
efficientnet_b0,macro_recall,H,5,0.6871254294770954,0.010977702290204037,0.6734948117603501,0.7007560471938408
efficientnet_b0,macro_recall,I,5,0.6830458631614403,0.01896382488700616,0.6594991645310042,0.7065925617918765
efficientnet_b0,macro_recall,baseline,5,0.6398587733475412,0.018211322001407005,0.6172464304586979,0.6624711162363844
resnet18,accuracy,A,5,0.8793206793206793,0.004020901458041588,0.8743280707399039,0.8843132879014546
resnet18,accuracy,B,5,0.8653346653346654,0.006753424088373839,0.8569491817795295,0.8737201488898013
resnet18,accuracy,C,5,0.8687312687312687,0.0033581890737205953,0.8645615262592686,0.8729010112032688
resnet18,accuracy,D,5,0.8665334665334665,0.010079519085418117,0.8540180905658951,0.879048842501038
