model,metric,group_1,group_2,n,mean_difference,cohen_dz,p_raw,p_wilcoxon,p_holm
segformer,mDice,A,B,5,0.06171217012357759,3.9909176347314044,0.0008717889240284364,0.0625,0.024409198755946902
segformer,mDice,A,C,5,0.02420698160177226,4.322514008264157,0.0006410503586441983,0.0625,0.020513611476614346
segformer,mDice,A,D,5,-0.0010687840925706516,-0.3193040550081879,0.5146857190389067,0.8125,1.0
segformer,mDice,A,E,5,-0.0011271428394984627,-0.4587862681008556,0.36293443665827047,0.4375,1.0
segformer,mDice,A,F,5,-0.001342160122973346,-0.4409121615002573,0.3799930409876356,0.625,1.0
segformer,mDice,A,G,5,-0.0013799220412880286,-0.6500401186180601,0.219742893328979,0.4375,1.0
segformer,mDice,A,H,5,-0.00020608175527323525,-0.07823718561549167,0.8696221783911704,0.8125,1.0
segformer,mDice,A,I,5,-0.000627896037849629,-0.187456434198695,0.6966264966053719,0.4375,1.0
segformer,mDice,B,C,5,-0.03750518852180533,-3.7213429444447095,0.001139498554114503,0.0625,0.02620846674463357
segformer,mDice,B,D,5,-0.06278095421614824,-4.389671494360709,0.000603968411510844,0.0625,0.019930957579857852
segformer,mDice,B,E,5,-0.06283931296307606,-3.8150106101820853,0.0010362243983208458,0.0625,0.025905609958021145
segformer,mDice,B,F,5,-0.06305433024655094,-3.9909555739039,0.0008717570984266751,0.0625,0.024409198755946902
segformer,mDice,B,G,5,-0.06309209216486562,-4.234790225966333,0.0006938490335322682,0.0625,0.02082042311765272
segformer,mDice,B,H,5,-0.061918251878850826,-4.102602642089346,0.0007840248164284433,0.0625,0.022736719676424856
segformer,mDice,B,I,5,-0.06234006616142722,-3.7794526139202307,0.001074006650667228,0.0625,0.025905609958021145
segformer,mDice,C,D,5,-0.02527576569434291,-5.639348780898848,0.0002276686474310863,0.0625,0.008196071307519107
segformer,mDice,C,E,5,-0.02533412444127072,-3.920524483734823,0.0009334045761225023,0.0625,0.024409198755946902
segformer,mDice,C,F,5,-0.025549141724745605,-4.270667464982607,0.0006716265521823458,0.0625,0.02082042311765272
segformer,mDice,C,G,5,-0.025586903643060287,-5.2335651275579425,0.00030490878865810004,0.0625,0.010671807603033502
segformer,mDice,C,H,5,-0.024413063357045496,-4.798431619450224,0.00042763595079203744,0.0625,0.014539622326929272
segformer,mDice,C,I,5,-0.02483487763962189,-3.667591200554149,0.0012045361264397517,0.0625,0.026499794781674538
segformer,mDice,D,E,5,-5.835874692781129e-05,-0.019688548904473947,0.9669946255638248,0.8125,1.0
segformer,mDice,D,F,5,-0.00027337603040269445,-0.08164060891630082,0.8640268853896962,0.625,1.0
