group,model,seed,metric,value
A,unet,42,mDice,0.8358472397515586
A,unet,42,mIoU,0.7389848868210952
A,unet,123,mDice,0.8369962668919063
A,unet,123,mIoU,0.7391243018470444
A,unet,2024,mDice,0.8340514573779377
A,unet,2024,mIoU,0.7381882885476568
A,unet,3407,mDice,0.8166549106935164
A,unet,3407,mIoU,0.7155264619585279
A,unet,7777,mDice,0.8426108854514854
A,unet,7777,mIoU,0.7494983546860092
A,segformer,42,mDice,0.9414615466759041
A,segformer,42,mIoU,0.8944393065306809
A,segformer,123,mDice,0.9369983650468565
A,segformer,123,mIoU,0.8876932699244459
A,segformer,2024,mDice,0.9407977182548363
A,segformer,2024,mIoU,0.8937414511814937
A,segformer,3407,mDice,0.9385482711153669
A,segformer,3407,mIoU,0.89004112468971
A,segformer,7777,mDice,0.9420197035049225
A,segformer,7777,mIoU,0.8949682068872404
B,unet,42,mDice,0.870512404046454
B,unet,42,mIoU,0.7888982741982786
B,unet,123,mDice,0.8917966726776603
B,unet,123,mIoU,0.8222733084614817
B,unet,2024,mDice,0.8790621945669839
B,unet,2024,mIoU,0.8031910744818536
B,unet,3407,mDice,0.8913644105642587
B,unet,3407,mIoU,0.8195215936426397
B,unet,7777,mDice,0.8796668588579237
B,unet,7777,mIoU,0.8044906478304487
B,segformer,42,mDice,0.865874171257019
B,segformer,42,mIoU,0.7920564335662049
B,segformer,123,mDice,0.8739108436710232
B,segformer,123,mIoU,0.7998901144131556
B,segformer,2024,mDice,0.8989082409308983
B,segformer,2024,mIoU,0.8346245604437905
B,segformer,3407,mDice,0.8879409276998483
B,segformer,3407,mIoU,0.8170613398204197
B,segformer,7777,mDice,0.8646305704212094
B,segformer,7777,mIoU,0.788183963501251
C,unet,42,mDice,0.8692764823848789
C,unet,42,mIoU,0.7871390929469815
C,unet,123,mDice,0.8754573867513941
C,unet,123,mIoU,0.7985256834106369
C,unet,2024,mDice,0.8777360577921529
C,unet,2024,mIoU,0.8022011835258324
C,unet,3407,mDice,0.8785103896519283
C,unet,3407,mIoU,0.8003337684568468
C,unet,7777,mDice,0.8702682369834298
C,unet,7777,mIoU,0.7929645526659238
C,segformer,42,mDice,0.9111207916543677
C,segformer,42,mIoU,0.8454443258005422
C,segformer,123,mDice,0.9140965933804507
C,segformer,123,mIoU,0.8503780818723894
C,segformer,2024,mDice,0.9225285547477501
C,segformer,2024,mIoU,0.8632662661902079
C,segformer,3407,mDice,0.9187991319002805
C,segformer,3407,mIoU,0.8575965206582586
C,segformer,7777,mDice,0.912245624906176
C,segformer,7777,mIoU,0.8478201968329293
D,unet,42,mDice,0.8602413230842644
D,unet,42,mIoU,0.7755215312693859
D,unet,123,mDice,0.8647988747049878
D,unet,123,mIoU,0.7791907518179148
D,unet,2024,mDice,0.8708287183340494
D,unet,2024,mIoU,0.7892580886225362
D,unet,3407,mDice,0.8664833379315806
D,unet,3407,mIoU,0.7813541028168532
D,unet,7777,mDice,0.8750947248209249
D,unet,7777,mIoU,0.7939845904722795
D,segformer,42,mDice,0.940422870657899
D,segformer,42,mIoU,0.8933351875899674
D,segformer,123,mDice,0.9417631102132273
D,segformer,123,mIoU,0.8958945585178447
D,segformer,2024,mDice,0.9404853142939367
D,segformer,2024,mIoU,0.8936198125114212
D,segformer,3407,mDice,0.943033704629073
D,segformer,3407,mIoU,0.8979242641132671
D,segformer,7777,mDice,0.9394645252666035
D,segformer,7777,mIoU,0.8917187846504844
E,unet,42,mDice,0.88635448654453
E,unet,42,mIoU,0.8123164487766338
E,unet,123,mDice,0.8886509928908143
E,unet,123,mIoU,0.8138239882685445
E,unet,2024,mDice,0.8860014106605675
E,unet,2024,mIoU,0.8133843949029258
E,unet,3407,mDice,0.8876658635777789
E,unet,3407,mIoU,0.8129685674156699
E,unet,7777,mDice,0.8881855804127056
E,unet,7777,mIoU,0.8159618593238808
E,segformer,42,mDice,0.9412037303278615
E,segformer,42,mIoU,0.8944062045165947
E,segformer,123,mDice,0.939855255685248
E,segformer,123,mIoU,0.8925399960099638
E,segformer,2024,mDice,0.9382642252700074
E,segformer,2024,mIoU,0.8902782422083837
E,segformer,3407,mDice,0.9417429164453939
E,segformer,3407,mIoU,0.895482971951678
E,segformer,7777,mDice,0.9443951910668678
E,segformer,7777,mIoU,0.8993489518389478
F,unet,42,mDice,0.8819861858636587
F,unet,42,mIoU,0.8054180584706507
F,unet,123,mDice,0.8926346297268862
F,unet,123,mIoU,0.8201654100870633
F,unet,2024,mDice,0.8774850706715922
F,unet,2024,mIoU,0.7988293381123157
F,unet,3407,mDice,0.8796044160555173
F,unet,3407,mIoU,0.8018494032241485
F,unet,7777,mDice,0.8744656227447174
F,unet,7777,mIoU,0.7932504183286196
F,segformer,42,mDice,0.9411371106748934
F,segformer,42,mIoU,0.8948376035237765
F,segformer,123,mDice,0.9436026097058535
F,segformer,123,mIoU,0.8988879780907493
F,segformer,2024,mDice,0.9418334571512548
F,segformer,2024,mIoU,0.8957093634329119
F,segformer,3407,mDice,0.9375059346814494
F,segformer,3407,mIoU,0.8890294271868306
F,segformer,7777,mDice,0.9424572929993019
F,segformer,7777,mIoU,0.8964710752447168
G,unet,42,mDice,0.8814942060293375
G,unet,42,mIoU,0.8038194902412422
G,unet,123,mDice,0.8892568586827754
G,unet,123,mIoU,0.8161462538249485
G,unet,2024,mDice,0.8812989778332896
G,unet,2024,mIoU,0.8038891100145125
G,unet,3407,mDice,0.8840029092578144
G,unet,3407,mIoU,0.8081564717478567
G,unet,7777,mDice,0.8781577245100634
G,unet,7777,mIoU,0.7999809373032439
G,segformer,42,mDice,0.9407095798364767
G,segformer,42,mIoU,0.8937287142464927
G,segformer,123,mDice,0.9400120502585297
G,segformer,123,mIoU,0.8927406178011403
G,segformer,2024,mDice,0.940721053462643
G,segformer,2024,mIoU,0.8936031155295663
G,segformer,3407,mDice,0.9427466540188937
G,segformer,3407,mIoU,0.897335318120924
G,segformer,7777,mDice,0.9425358772277832
G,segformer,7777,mIoU,0.8969839825615897
H,unet,42,mDice,0.8896525760035177
H,unet,42,mIoU,0.8169892241547515
H,unet,123,mDice,0.8909113924581926
H,unet,123,mIoU,0.8181662108157421
H,unet,2024,mDice,0.8884612936954517
H,unet,2024,mIoU,0.8158186488337331
H,unet,3407,mDice,0.8839789487860658
H,unet,3407,mIoU,0.8077408968509137
H,unet,7777,mDice,0.89339097920474
H,unet,7777,mIoU,0.822733835740523
H,segformer,42,mDice,0.9390409953825243
H,segformer,42,mIoU,0.8909902816766745
H,segformer,123,mDice,0.9399372054623081
H,segformer,123,mIoU,0.8923929941046845
H,segformer,2024,mDice,0.9389030997688834
H,segformer,2024,mIoU,0.8898817380586942
H,segformer,3407,mDice,0.941620315705146
H,segformer,3407,mIoU,0.8944415598363429
H,segformer,7777,mDice,0.9413543970553906
H,segformer,7777,mIoU,0.8942497458967653
I,unet,42,mDice,0.894047513648823
I,unet,42,mIoU,0.8226933385227825
I,unet,123,mDice,0.8927802018947772
I,unet,123,mIoU,0.8220481480156386
I,unet,2024,mDice,0.888737370262851
I,unet,2024,mIoU,0.818254269920029
I,unet,3407,mDice,0.8890120004202341
I,unet,3407,mIoU,0.8151096255629213
I,unet,7777,mDice,0.8903948827223345
I,unet,7777,mIoU,0.8182155232091288
I,segformer,42,mDice,0.9419151657706613
I,segformer,42,mIoU,0.8954220067609202
I,segformer,123,mDice,0.9381691520507043
I,segformer,123,mIoU,0.8899955916237998
I,segformer,2024,mDice,0.9365511528857342
I,segformer,2024,mIoU,0.8867152986469325
I,segformer,3407,mDice,0.9437357469514891
I,segformer,3407,mIoU,0.8984274774879127
I,segformer,7777,mDice,0.9425938671285455
I,segformer,7777,mIoU,0.8963993314977412
