model,metric,group,n,mean,std,ci95_low,ci95_high
segformer,mDice,A,5,0.9399651209195772,0.002119134359998004,0.937333868077411,0.9425963737617433
segformer,mDice,B,5,0.8782529507959996,0.014816842032643737,0.8598554114769936,0.8966504901150056
segformer,mDice,C,5,0.915758139317805,0.004787735548412667,0.9098133804544206,0.9217028981811894
segformer,mDice,D,5,0.9410339050121479,0.0013845763139892213,0.9393147264503018,0.942753083573994
segformer,mDice,E,5,0.9410922637590758,0.002284354021659901,0.9382558636112287,0.943928663906923
segformer,mDice,F,5,0.9413072810425506,0.0023101468882794074,0.9384388548208116,0.9441757072642896
segformer,mDice,G,5,0.9413450429608652,0.0012199022122779527,0.9398303343025505,0.9428597516191799
segformer,mDice,H,5,0.9401712026748505,0.0012688661982200003,0.9385956971979831,0.941746708151718
segformer,mDice,I,5,0.9405930169574269,0.003075711989412466,0.9367740161113298,0.944412017803524
segformer,mIoU,A,5,0.8921766718427142,0.0031631539805436443,0.8882490974242983,0.8961042462611302
segformer,mIoU,B,5,0.8063632823489643,0.01930170803452649,0.7823970463786524,0.8303295183192761
segformer,mIoU,C,5,0.8529010782708655,0.007370012283459399,0.8437499993521744,0.8620521571895565
segformer,mIoU,D,5,0.8944985214765969,0.002425749576571265,0.8914865555587104,0.8975104873944835
segformer,mIoU,E,5,0.8944112733051137,0.0033953224348738853,0.8901954236754372,0.8986271229347902
segformer,mIoU,F,5,0.8949870894957972,0.0036557116754802484,0.8904479239205402,0.8995262550710542
segformer,mIoU,G,5,0.8948783496519427,0.002120622851076388,0.8922452486039929,0.8975114506998925
segformer,mIoU,H,5,0.8923912639146323,0.0019948773703381416,0.889914296503052,0.8948682313262126
segformer,mIoU,I,5,0.8933919412034612,0.004864024427278671,0.8873524571857256,0.8994314252211968
unet,mDice,A,5,0.8332321520332808,0.009803622757143651,0.8210593466037645,0.8454049574627972
unet,mDice,B,5,0.8824805081426561,0.0090629968765367,0.8712273112052273,0.8937337050800849
unet,mDice,C,5,0.8742497107127567,0.004252987639693431,0.8689689290757437,0.8795304923497697
unet,mDice,D,5,0.8674893957751614,0.005696001202441003,0.860416876148365,0.8745619154019577
unet,mDice,E,5,0.8873716668172792,0.0011508627111227955,0.8859426820220029,0.8888006516125555
unet,mDice,F,5,0.8812351850124743,0.006947321072419137,0.8726089465528891,0.8898614234720595
unet,mDice,G,5,0.882842135262656,0.004142403438624524,0.8776986620468804,0.8879856084784316
unet,mDice,H,5,0.8892790380295935,0.003481085448957518,0.884956699552952,0.8936013765062351
unet,mDice,I,5,0.890994393789804,0.0023395567771629525,0.8880894503678471,0.893899337211761
unet,mIoU,A,5,0.7362644587720666,0.012494809573261783,0.7207501035605357,0.7517788139835975
unet,mIoU,B,5,0.8076749797229403,0.013567088021139463,0.7908292149666298,0.8245207444792508
unet,mIoU,C,5,0.7962328562012442,0.006145604264782988,0.7886020806384556,0.8038636317640327
unet,mIoU,D,5,0.7838618129997938,0.007570636311155174,0.7744616264487383,0.7932619995508494
unet,mIoU,E,5,0.8136910517375309,0.0013856221098439963,0.8119705746486224,0.8154115288264393
unet,mIoU,F,5,0.8039025256445596,0.010126674970319736,0.7913285979124023,0.8164764533767168
unet,mIoU,G,5,0.8063984526263607,0.006169331602545526,0.7987382156824991,0.8140586895702222
unet,mIoU,H,5,0.8162897632791328,0.005450720979604716,0.8095217992745037,0.8230577272837619
unet,mIoU,I,5,0.8192641810461,0.003118073447330197,0.815392581502795,0.823135780589405
