Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.821348	1.030190	67.618182	51.333333	
0.001000	0.527018	0.974188	81.236364	52.666667	
0.001000	0.432176	0.887740	83.945455	54.666666	
0.001000	0.388653	0.852075	85.200000	60.000000	
0.001000	0.351102	0.852739	86.472727	58.666666	
0.001000	0.337261	0.831722	86.418182	61.333333	
0.001000	0.325591	0.774582	87.018182	63.333333	
0.001000	0.309609	0.800236	87.618182	62.000000	
0.001000	0.303570	0.739932	87.963636	64.000000	
0.001000	0.303925	0.734890	87.800000	65.333333	
0.001000	0.287073	0.721815	88.363636	66.000000	
0.001000	0.277086	0.712957	88.618182	67.333333	
0.001000	0.267951	0.683505	89.600000	70.000000	
0.001000	0.259457	0.665267	89.581818	73.333333	
0.001000	0.264721	0.671557	89.090909	74.000000	
0.000100	0.257278	0.662129	89.836364	73.333333	
0.000100	0.252112	0.660556	89.781818	73.333333	
0.000100	0.258946	0.672676	89.145455	72.000000	
0.000100	0.258747	0.650552	89.309091	74.000000	
0.000100	0.255637	0.656499	89.909091	72.666666	
0.000100	0.246486	0.678755	89.927273	72.000000	
0.000100	0.250786	0.666573	89.890909	72.666666	
0.000100	0.246916	0.673227	90.072727	71.333333	
0.000100	0.249418	0.682063	90.072727	71.333333	
0.000100	0.248178	0.672942	89.618182	72.000000	
0.000010	0.246893	0.670903	89.909091	72.000000	
0.000010	0.252311	0.666552	90.054545	72.000000	
0.000010	0.247337	0.664824	89.800000	71.333333	
0.000010	0.253608	0.654453	89.563636	72.666666	
0.000010	0.250432	0.665954	89.800000	72.666666	
