Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.609590	0.885731	76.200000	57.333333	
0.001000	0.351426	0.818179	86.127273	58.000000	
0.001000	0.303350	0.729466	87.672727	65.333333	
0.001000	0.279458	0.762391	88.745455	62.666666	
0.001000	0.255412	0.655521	89.836364	71.333334	
0.001000	0.241601	0.737861	90.781818	66.000000	
0.001000	0.236857	0.683172	90.000000	74.000000	
0.001000	0.230683	0.610866	90.672727	72.000000	
0.001000	0.214209	0.636866	91.236364	75.333333	
0.001000	0.202696	0.616014	91.781818	72.000000	
0.001000	0.196559	0.603571	91.890909	77.333333	
0.001000	0.185103	0.605491	92.290909	78.666667	
0.001000	0.174982	0.655982	92.836364	72.000000	
0.001000	0.174818	0.695011	92.763636	71.333333	
0.001000	0.155508	0.621689	93.854545	78.000000	
0.000100	0.146285	0.594507	94.254545	76.000000	
0.000100	0.137044	0.597596	94.618182	80.000000	
0.000100	0.127747	0.624142	94.945455	75.333333	
0.000100	0.133322	0.605678	94.672727	76.000000	
0.000100	0.128954	0.611759	95.090909	77.333334	
0.000100	0.125768	0.602126	95.200000	77.333333	
0.000100	0.131714	0.584279	94.890909	77.333333	
0.000100	0.127485	0.609430	95.109091	78.666667	
0.000100	0.124766	0.616161	95.436364	79.333333	
0.000100	0.122473	0.600610	95.145454	79.999999	
0.000010	0.117706	0.611922	95.418182	78.000000	
0.000010	0.120905	0.623126	95.363636	77.999999	
0.000010	0.116675	0.611801	95.545455	77.333334	
0.000010	0.117437	0.601532	95.509091	78.666667	
0.000010	0.123364	0.619011	95.381818	78.666667	
