Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.932681	0.936093	58.400000	53.333333	
0.001000	0.706099	0.916887	72.563636	52.000000	
0.001000	0.605352	0.832239	75.472727	56.666666	
0.001000	0.569666	0.811865	76.309091	58.000000	
0.001000	0.526449	0.816933	79.127273	56.000000	
0.001000	0.514604	0.760033	79.127273	58.666666	
0.001000	0.478378	0.717360	80.309091	68.666666	
0.001000	0.466766	0.769000	81.181818	64.666666	
0.001000	0.453694	0.696384	82.109091	68.666666	
0.001000	0.443208	0.706383	82.418182	67.333333	
0.001000	0.426384	0.668467	83.145455	67.999999	
0.001000	0.406347	0.667048	83.854545	69.999999	
0.001000	0.399947	0.641544	83.763636	72.666666	
0.001000	0.380723	0.636998	84.800000	71.333334	
0.001000	0.398291	0.624819	84.418182	74.666667	
0.000100	0.383712	0.623806	84.727273	74.666666	
0.000100	0.376278	0.619442	84.872727	75.333333	
0.000100	0.377820	0.622751	85.000000	75.333333	
0.000100	0.388751	0.618463	83.618182	75.333334	
0.000100	0.376279	0.610901	85.109091	75.999999	
0.000100	0.372885	0.627727	85.363636	75.999999	
0.000100	0.381040	0.627394	84.218182	75.333333	
0.000100	0.374612	0.626253	84.945455	73.333334	
0.000100	0.376364	0.633603	84.872727	74.000000	
0.000100	0.371127	0.625796	85.400000	74.666667	
0.000010	0.378335	0.631078	84.927273	73.333334	
0.000010	0.368369	0.627105	85.145455	75.333334	
0.000010	0.370686	0.627497	85.290909	73.999999	
0.000010	0.367466	0.622648	85.290909	74.666666	
0.000010	0.359429	0.621849	85.509091	73.333334	
