Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.748746	0.877765	67.036364	56.666667	
0.001000	0.565077	0.880011	76.781818	58.666667	
0.001000	0.495495	0.809731	79.581818	65.333333	
0.001000	0.456224	0.750219	81.400000	68.000000	
0.001000	0.425670	0.748629	82.545455	68.000000	
0.001000	0.405575	0.747973	83.945454	68.666667	
0.001000	0.392726	0.720300	84.272727	72.000000	
0.001000	0.376342	0.700991	84.927273	68.666667	
0.001000	0.363371	0.704369	85.218182	68.000000	
0.001000	0.352157	0.724865	85.872727	72.666666	
0.001000	0.330632	0.695447	86.636364	71.333333	
0.001000	0.307164	0.698937	88.472727	70.666667	
0.001000	0.327248	0.618567	86.836364	75.333333	
0.001000	0.306625	0.591742	87.527273	74.000000	
0.001000	0.302214	0.646575	87.781818	73.333333	
0.000100	0.269187	0.608115	89.181818	72.666667	
0.000100	0.268331	0.614165	89.781818	74.666667	
0.000100	0.267681	0.608519	89.290909	75.333333	
0.000100	0.264631	0.597143	89.527273	74.666667	
0.000100	0.264329	0.600561	89.618182	74.666667	
0.000100	0.258906	0.581464	89.854545	77.333334	
0.000100	0.259618	0.599854	89.636364	74.000000	
0.000100	0.258410	0.597109	89.945455	75.333334	
0.000100	0.256106	0.582187	89.836364	76.666667	
0.000100	0.267383	0.587363	90.163636	73.333333	
0.000010	0.257887	0.581420	89.636364	75.333333	
0.000010	0.250934	0.583179	90.163636	74.000000	
0.000010	0.251975	0.581095	90.109091	76.000000	
0.000010	0.250415	0.586306	90.345455	76.000000	
0.000010	0.268053	0.581765	89.636364	76.666667	
