Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.892503	1.005046	63.818182	52.666667	
0.001000	0.648790	0.985116	75.890909	55.999999	
0.001000	0.548884	0.928707	78.618182	57.333333	
0.001000	0.493400	0.911114	80.636364	57.333333	
0.001000	0.445156	0.908301	82.218182	59.333333	
0.001000	0.417373	0.897383	83.345455	60.666666	
0.001000	0.401231	0.845311	83.672727	58.666666	
0.001000	0.364151	0.876213	85.763636	59.333333	
0.001000	0.351175	0.829950	86.145455	63.333333	
0.001000	0.345219	0.811890	86.181818	61.333334	
0.001000	0.325635	0.802845	87.000000	62.666667	
0.001000	0.305829	0.792560	87.581818	65.333333	
0.001000	0.296443	0.776965	87.727273	66.000000	
0.001000	0.287273	0.740641	88.018182	64.666667	
0.001000	0.288156	0.748264	88.109091	67.333334	
0.000100	0.278680	0.740348	89.072727	67.333334	
0.000100	0.272058	0.746325	88.709091	68.000000	
0.000100	0.274652	0.749908	88.927273	68.666667	
0.000100	0.280182	0.730393	88.836364	67.333333	
0.000100	0.278157	0.738796	88.509091	67.333334	
0.000100	0.273236	0.739674	88.781818	68.000000	
0.000100	0.278306	0.742134	89.127273	67.333334	
0.000100	0.268961	0.747413	89.163636	67.333334	
0.000100	0.267479	0.754293	89.563636	67.333334	
0.000100	0.267459	0.731192	89.345455	67.333334	
0.000010	0.269303	0.726593	89.018182	70.000000	
0.000010	0.270781	0.738904	89.181818	68.666667	
0.000010	0.268385	0.738989	89.527273	67.333334	
0.000010	0.273547	0.737806	88.745454	67.333334	
0.000010	0.271253	0.740929	89.327273	68.666667	
