Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.709120	1.015658	69.545454	57.333334	
0.001000	0.464034	0.893736	81.127273	61.333333	
0.001000	0.394288	0.855623	84.018182	57.333333	
0.001000	0.352860	0.810687	85.727273	61.999999	
0.001000	0.319338	0.762692	86.763636	66.666666	
0.001000	0.297453	0.722174	87.909091	68.000000	
0.001000	0.283551	0.780511	88.254545	69.333333	
0.001000	0.254742	0.726938	89.600000	65.333333	
0.001000	0.247481	0.660772	90.018182	70.666667	
0.001000	0.241869	0.722222	90.000000	69.333334	
0.001000	0.234092	0.689286	90.381818	71.999999	
0.001000	0.227386	0.628264	90.981818	70.666667	
0.001000	0.224658	0.641340	90.490909	70.000000	
0.001000	0.210644	0.645558	91.418182	69.333333	
0.001000	0.201247	0.636055	91.927273	73.333334	
0.000100	0.201997	0.651837	91.672727	76.000000	
0.000100	0.186295	0.643994	92.254545	74.666667	
0.000100	0.186172	0.626425	92.690909	74.666667	
0.000100	0.188117	0.626835	92.636364	74.000000	
0.000100	0.180788	0.636820	93.000000	70.666667	
0.000100	0.177484	0.619789	92.909091	74.666667	
0.000100	0.189761	0.623097	92.545455	72.000000	
0.000100	0.186931	0.629689	92.545454	74.000000	
0.000100	0.182010	0.620897	92.436364	75.333334	
0.000100	0.179026	0.632239	93.054545	75.333334	
0.000010	0.174538	0.627094	93.018182	74.000000	
0.000010	0.186340	0.619727	92.472727	74.000000	
0.000010	0.174459	0.624292	93.181818	72.000000	
0.000010	0.176459	0.620469	92.981818	74.000000	
0.000010	0.187740	0.624443	92.345455	74.666667	
