Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.987749	1.005646	49.490909	52.000000	
0.001000	0.932142	0.934590	52.763636	52.000000	
0.001000	0.915308	0.877131	52.654545	56.666666	
0.001000	0.909883	0.837372	52.418182	58.000000	
0.001000	0.903900	0.814987	53.363636	60.000000	
0.001000	0.889209	0.817553	54.418182	60.000000	
0.001000	0.887438	0.779939	54.018182	64.666666	
0.001000	0.884713	0.784375	53.454545	65.333333	
0.001000	0.878066	0.741066	55.072727	69.333333	
0.001000	0.875509	0.728389	55.472727	71.333333	
0.001000	0.869844	0.721670	54.981818	68.666666	
0.001000	0.865190	0.715220	55.618182	71.333333	
0.001000	0.861814	0.705587	55.309091	71.999999	
0.001000	0.862936	0.680232	55.000000	69.999999	
0.001000	0.854950	0.697797	56.309091	70.666666	
0.000100	0.848210	0.692492	57.218182	69.999999	
0.000100	0.849069	0.661950	56.836364	71.333333	
0.000100	0.849305	0.676197	56.454545	70.666667	
0.000100	0.849487	0.652763	56.527273	72.666667	
0.000100	0.850725	0.654589	56.345455	72.000000	
0.000100	0.852770	0.660970	56.254545	69.333334	
0.000100	0.847444	0.652506	57.345455	72.000000	
0.000100	0.846822	0.669951	56.600000	70.000000	
0.000100	0.854592	0.639047	55.963636	73.333333	
0.000100	0.846167	0.646273	57.127273	72.000000	
0.000010	0.849322	0.654147	55.800000	71.333333	
0.000010	0.848175	0.661115	56.818182	71.333333	
0.000010	0.848094	0.664848	56.654545	72.000000	
0.000010	0.842929	0.666224	57.781818	71.333333	
0.000010	0.841579	0.650036	57.218182	71.333333	
