Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.957891	0.974649	50.781818	52.000000	
0.001000	0.890902	0.797769	54.036364	64.666666	
0.001000	0.874961	0.765399	55.945455	67.333333	
0.001000	0.866782	0.689953	54.945455	74.666667	
0.001000	0.854772	0.957856	56.218182	61.333333	
0.001000	0.843201	0.613421	57.200000	75.333333	
0.001000	0.832942	0.689652	57.200000	67.333333	
0.001000	0.837256	0.617236	57.400000	74.666666	
0.001000	0.825646	0.614832	58.054545	75.333333	
0.001000	0.817292	0.627328	58.345455	77.333333	
0.001000	0.797396	0.735053	59.290909	73.333333	
0.001000	0.801277	0.664294	58.654545	72.000000	
0.001000	0.791178	0.633773	59.036364	76.000000	
0.001000	0.788302	0.636546	60.254545	76.666666	
0.001000	0.775905	0.581594	60.600000	76.666666	
0.000100	0.758092	0.622708	61.563636	75.333333	
0.000100	0.747356	0.604087	62.218182	78.000000	
0.000100	0.751472	0.621549	61.236364	80.000000	
0.000100	0.746640	0.616081	62.054545	81.333333	
0.000100	0.742422	0.627025	61.981818	80.666666	
0.000100	0.740808	0.624116	62.363636	78.666666	
0.000100	0.738188	0.668539	62.527273	78.666666	
0.000100	0.736827	0.649393	62.890909	80.000000	
0.000100	0.732266	0.637120	63.054545	78.666666	
0.000100	0.731900	0.605347	63.236364	79.333333	
0.000010	0.730545	0.642728	62.945455	78.666666	
0.000010	0.727632	0.582044	62.600000	80.666666	
0.000010	0.729902	0.629832	62.927273	80.000000	
0.000010	0.734556	0.619288	62.927273	79.333333	
0.000010	0.732905	0.605162	63.072727	78.666666	
