Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.933554	1.025053	58.781818	50.666667	
0.001000	0.719308	1.054599	71.909091	52.666666	
0.001000	0.649064	1.056452	74.018182	52.666666	
0.001000	0.606253	1.003750	75.527273	53.999999	
0.001000	0.582477	0.939619	76.454545	56.666666	
0.001000	0.553356	0.918445	77.109091	56.666666	
0.001000	0.535124	0.922178	78.163636	57.999999	
0.001000	0.516160	0.849480	79.327273	59.333334	
0.001000	0.521283	0.862234	78.709091	62.000000	
0.001000	0.490485	0.811584	79.981818	62.666666	
0.001000	0.490007	0.784111	79.872727	62.000000	
0.001000	0.488867	0.774994	80.018182	63.333333	
0.001000	0.475296	0.767569	81.400000	66.000000	
0.001000	0.453843	0.773726	81.981818	66.666666	
0.001000	0.454177	0.756804	82.072727	68.666666	
0.000100	0.443794	0.740591	82.054545	68.666666	
0.000100	0.434951	0.748905	82.400000	68.666666	
0.000100	0.440709	0.750263	82.745455	68.666666	
0.000100	0.433964	0.730318	82.363636	70.000000	
0.000100	0.433847	0.748739	83.200000	70.666666	
0.000100	0.447668	0.747504	81.981818	67.999999	
0.000100	0.441348	0.733182	82.545454	70.666666	
0.000100	0.438558	0.745051	82.763636	68.666666	
0.000100	0.441188	0.740307	81.854545	68.666666	
0.000100	0.432105	0.729735	82.618182	70.666666	
0.000010	0.436533	0.742656	82.254545	69.333333	
0.000010	0.427862	0.731110	82.636364	71.333333	
0.000010	0.438342	0.743192	82.163636	70.000000	
0.000010	0.428105	0.739093	83.309091	69.333333	
0.000010	0.432273	0.737725	82.800000	69.333333	
