Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.742590	0.959066	68.854545	59.999999	
0.001000	0.560707	0.927336	77.181818	56.000000	
0.001000	0.497252	0.901270	79.836364	62.000000	
0.001000	0.469147	0.867318	80.636364	64.666666	
0.001000	0.435501	0.775460	83.036364	67.333333	
0.001000	0.418481	0.848936	82.963636	64.666666	
0.001000	0.406000	0.724961	83.345455	67.999999	
0.001000	0.378975	0.867615	84.454545	64.000000	
0.001000	0.354587	0.798861	85.654545	70.000000	
0.001000	0.350260	0.828070	85.981818	68.000000	
0.001000	0.337477	0.756479	86.381818	70.000000	
0.001000	0.323424	0.922929	87.054545	66.666666	
0.001000	0.295763	0.693047	88.327273	74.666667	
0.001000	0.280435	0.749111	89.218182	74.666667	
0.001000	0.274145	0.728123	89.618182	72.000000	
0.000100	0.252558	0.683680	90.145455	74.666667	
0.000100	0.227818	0.719766	91.254545	73.333333	
0.000100	0.225381	0.745672	91.800000	72.000000	
0.000100	0.222012	0.739551	91.745455	72.666667	
0.000100	0.223604	0.732980	91.272727	72.666667	
0.000100	0.214695	0.726016	91.781818	72.000000	
0.000100	0.207687	0.732648	91.854545	72.666667	
0.000100	0.220715	0.760090	91.418182	72.000000	
0.000100	0.217648	0.716905	91.145455	76.000000	
0.000100	0.203239	0.735680	92.436364	74.666667	
0.000010	0.194238	0.723832	92.890909	73.333333	
0.000010	0.204067	0.730941	92.254545	73.333333	
0.000010	0.198516	0.722989	92.636364	75.333333	
0.000010	0.207179	0.741009	92.236364	73.333333	
0.000010	0.205179	0.741797	92.272727	74.000000	
