Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.795181	0.955988	70.127273	58.000000	
0.001000	0.493546	0.939237	82.490909	61.333334	
0.001000	0.415405	0.909719	84.581818	61.333333	
0.001000	0.378611	0.881970	85.436364	64.000000	
0.001000	0.349497	0.864635	86.436364	63.999999	
0.001000	0.333360	0.824864	86.836364	64.666667	
0.001000	0.317243	0.788972	87.381818	65.999999	
0.001000	0.306037	0.819458	87.836364	64.666666	
0.001000	0.298335	0.774468	88.236364	65.333334	
0.001000	0.285637	0.747661	88.509091	68.666666	
0.001000	0.277491	0.724907	89.090909	69.999999	
0.001000	0.261887	0.702858	89.309091	70.666666	
0.001000	0.254342	0.699636	89.945454	69.333333	
0.001000	0.245369	0.692977	90.290909	72.000000	
0.001000	0.254658	0.689139	89.745455	74.000000	
0.000100	0.252548	0.684728	90.018182	73.333333	
0.000100	0.239964	0.684845	90.345455	73.333333	
0.000100	0.234584	0.688303	90.581818	72.000000	
0.000100	0.256986	0.681911	89.654545	74.000000	
0.000100	0.245050	0.686494	90.109091	72.000000	
0.000100	0.237665	0.690719	90.581818	72.666666	
0.000100	0.249173	0.690347	90.363636	73.333333	
0.000100	0.244137	0.685257	89.981818	73.333333	
0.000100	0.236517	0.682050	90.581818	72.666666	
0.000100	0.240040	0.680426	90.418182	72.666666	
0.000010	0.239262	0.677294	90.163636	73.333333	
0.000010	0.234886	0.682174	90.727273	72.666666	
0.000010	0.244252	0.670694	90.145455	73.333333	
0.000010	0.239810	0.682818	90.236364	73.333333	
0.000010	0.235673	0.668570	90.454545	72.000000	
