Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.585494	0.889079	75.272727	60.666666	
0.001000	0.363423	0.917184	85.909091	59.333333	
0.001000	0.324399	0.837468	87.218182	61.333333	
0.001000	0.297850	0.753010	88.272727	66.000000	
0.001000	0.279411	0.739234	89.036364	69.333334	
0.001000	0.264733	0.776868	89.563636	65.999999	
0.001000	0.262691	0.884584	89.290909	63.333333	
0.001000	0.237184	0.687670	90.672727	71.333333	
0.001000	0.229978	0.700172	90.763636	71.333333	
0.001000	0.224999	0.687093	91.090909	74.666666	
0.001000	0.215879	0.712976	91.309091	73.333333	
0.001000	0.210219	0.649433	91.290909	76.666666	
0.001000	0.206130	0.612135	91.454545	76.000000	
0.001000	0.189973	0.605464	91.981818	77.333333	
0.001000	0.198062	0.632058	92.145454	78.666666	
0.000100	0.192491	0.601662	92.200000	78.666666	
0.000100	0.172073	0.600180	93.163636	78.000000	
0.000100	0.177873	0.594126	92.781818	78.666666	
0.000100	0.172259	0.584264	93.436364	79.333333	
0.000100	0.171898	0.590146	93.218182	78.666666	
0.000100	0.164661	0.574140	93.327273	79.333333	
0.000100	0.173056	0.571736	93.127273	81.333333	
0.000100	0.175828	0.573116	92.654545	82.000000	
0.000100	0.175209	0.563474	93.072727	79.333333	
0.000100	0.166095	0.581753	93.381818	76.000000	
0.000010	0.165039	0.571012	93.654545	80.666666	
0.000010	0.169447	0.574172	93.363636	78.666666	
0.000010	0.158529	0.564073	94.036364	81.333333	
0.000010	0.167572	0.573103	93.145455	78.666666	
0.000010	0.165729	0.569810	93.418182	80.000000	
