Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.921983	0.934613	59.890909	52.666667	
0.001000	0.686537	0.888217	73.254545	57.333334	
0.001000	0.584030	0.831689	77.200000	62.666667	
0.001000	0.535557	0.768127	78.763636	65.999999	
0.001000	0.497572	0.757264	80.636364	67.333334	
0.001000	0.482359	0.776478	80.909091	61.999999	
0.001000	0.466834	0.772982	80.927273	65.333334	
0.001000	0.453430	0.727500	82.381818	67.999999	
0.001000	0.429586	0.681088	83.036364	70.000000	
0.001000	0.423811	0.684354	83.472727	71.333333	
0.001000	0.413179	0.667288	83.472727	72.000000	
0.001000	0.404432	0.680320	84.327273	70.666667	
0.001000	0.397862	0.672513	84.636364	69.333334	
0.001000	0.386580	0.671841	85.490909	72.666667	
0.001000	0.382750	0.670373	85.054545	70.000000	
0.000100	0.367543	0.655327	85.436364	71.333333	
0.000100	0.377967	0.664795	85.218182	70.666667	
0.000100	0.381182	0.645480	85.018182	73.333333	
0.000100	0.383391	0.643162	84.745455	71.333333	
0.000100	0.380553	0.646005	85.036364	71.333333	
0.000100	0.373768	0.646652	85.418182	71.333333	
0.000100	0.369921	0.663939	85.581818	70.000000	
0.000100	0.362593	0.653593	85.909091	72.000000	
0.000100	0.374593	0.655542	85.690909	72.666667	
0.000100	0.368402	0.658106	85.527273	71.333333	
0.000010	0.368751	0.649241	85.745454	72.000000	
0.000010	0.363161	0.653920	85.909091	72.000000	
0.000010	0.367330	0.649176	85.836364	72.000000	
0.000010	0.371564	0.652063	85.472727	72.000000	
0.000010	0.355829	0.649934	86.163636	71.333333	
