Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.734166	0.869412	67.618182	58.000000	
0.001000	0.537962	0.836539	78.836364	60.000000	
0.001000	0.496732	0.819640	80.236364	64.000000	
0.001000	0.465825	0.780449	81.000000	63.333334	
0.001000	0.431571	0.833875	82.945454	64.666666	
0.001000	0.416478	0.766494	83.490909	62.000000	
0.001000	0.406812	0.760965	83.709091	68.000000	
0.001000	0.391163	0.779146	84.690909	64.666666	
0.001000	0.372954	0.761596	85.454545	67.999999	
0.001000	0.368564	0.778032	85.436364	70.666666	
0.001000	0.355057	0.730476	86.036364	72.000000	
0.001000	0.346307	0.743513	86.690909	68.000000	
0.001000	0.350476	0.684022	86.381818	74.000000	
0.001000	0.330280	0.673127	87.290909	71.333333	
0.001000	0.322199	0.726917	87.418182	71.333333	
0.000100	0.297093	0.682333	88.672727	74.000000	
0.000100	0.286525	0.664036	89.109091	72.000000	
0.000100	0.296836	0.664291	88.909091	73.333334	
0.000100	0.287025	0.664542	88.763636	73.333334	
0.000100	0.287364	0.674448	89.072727	72.666667	
0.000100	0.289018	0.664774	88.781818	74.000000	
0.000100	0.279669	0.667659	89.309091	72.666667	
0.000100	0.278368	0.666722	88.872727	72.666667	
0.000100	0.280979	0.671554	89.054545	73.333334	
0.000100	0.293026	0.673724	88.454545	72.000000	
0.000010	0.280823	0.669840	89.290909	72.666667	
0.000010	0.282639	0.669274	89.127273	71.333334	
0.000010	0.280771	0.669041	89.454545	72.666667	
0.000010	0.278538	0.670306	89.363636	72.000000	
0.000010	0.278299	0.668838	89.254545	73.333334	
