Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.962520	0.999714	55.818182	50.000000	
0.001000	0.788127	0.971323	68.090909	50.666667	
0.001000	0.691071	0.917742	72.381818	53.333333	
0.001000	0.627353	0.856860	74.963636	54.000000	
0.001000	0.589882	0.833784	76.527273	58.666667	
0.001000	0.556804	0.799758	77.763636	62.666667	
0.001000	0.543578	0.776415	77.836364	62.666667	
0.001000	0.513078	0.742384	79.800000	66.666667	
0.001000	0.506446	0.736565	79.763636	66.666667	
0.001000	0.476675	0.694521	81.090909	70.000000	
0.001000	0.468917	0.692841	81.600000	70.666667	
0.001000	0.458267	0.680473	82.109091	71.333333	
0.001000	0.440715	0.656036	82.563636	74.000000	
0.001000	0.427988	0.664622	82.836364	71.333333	
0.001000	0.422440	0.650151	82.945454	74.666667	
0.000100	0.415355	0.644352	83.654545	75.333333	
0.000100	0.411137	0.640842	83.218182	76.000000	
0.000100	0.410237	0.645258	83.763636	76.666667	
0.000100	0.413937	0.650695	83.472727	74.666667	
0.000100	0.412732	0.651302	83.709091	74.666667	
0.000100	0.412631	0.650367	84.018182	75.333333	
0.000100	0.407388	0.641997	83.872727	74.666667	
0.000100	0.415430	0.639671	83.745455	74.666667	
0.000100	0.412094	0.645744	83.890909	74.666667	
0.000100	0.407338	0.634664	84.018182	76.000000	
0.000010	0.402326	0.638780	84.381818	74.666667	
0.000010	0.390914	0.652683	84.363636	75.333333	
0.000010	0.410860	0.641472	83.945454	75.333333	
0.000010	0.389090	0.636752	84.418182	76.666667	
0.000010	0.400525	0.641806	84.218182	76.000000	
