Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.702629	0.837463	69.945455	58.000000	
0.001000	0.478395	0.898810	80.800000	56.000000	
0.001000	0.426674	0.798386	82.745455	61.333333	
0.001000	0.394202	0.788693	84.345454	60.000000	
0.001000	0.385790	0.710094	84.618182	66.000000	
0.001000	0.358119	0.749372	86.090909	64.666667	
0.001000	0.355194	0.682905	85.945454	68.666667	
0.001000	0.333400	0.692731	87.090909	65.333334	
0.001000	0.321995	0.647209	87.127273	73.333334	
0.001000	0.325243	0.699600	86.781818	70.666667	
0.001000	0.305170	0.722636	87.690909	68.000000	
0.001000	0.300063	0.681753	88.036364	70.666667	
0.001000	0.288720	0.634675	88.600000	74.000000	
0.001000	0.291267	0.626387	88.236364	70.666667	
0.001000	0.279381	0.641198	89.036364	72.666667	
0.000100	0.260041	0.621619	89.781818	73.333334	
0.000100	0.251145	0.611149	90.418182	75.333334	
0.000100	0.249723	0.618562	90.527273	76.000000	
0.000100	0.245014	0.613595	90.018182	75.333334	
0.000100	0.240242	0.613208	90.836364	74.666667	
0.000100	0.244987	0.626196	90.636364	75.333334	
0.000100	0.247896	0.624786	90.163636	74.000000	
0.000100	0.242749	0.621118	90.145455	74.000000	
0.000100	0.255630	0.614513	90.109091	73.333334	
0.000100	0.248742	0.626667	90.236364	73.333334	
0.000010	0.245490	0.619815	90.490909	74.666667	
0.000010	0.237536	0.620292	90.818182	75.333334	
0.000010	0.243978	0.621028	90.745455	74.666667	
0.000010	0.241607	0.619904	90.363636	74.666667	
0.000010	0.239909	0.629133	90.254545	74.000000	
