Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.937190	1.110531	61.200000	52.000000	
0.001000	0.814465	0.952226	68.300000	52.000000	
0.001000	0.767801	0.894017	68.450000	54.000000	
0.001000	0.732365	0.844932	69.050000	58.000000	
0.001000	0.710643	0.807097	70.100000	60.666666	
0.001000	0.687326	0.772900	70.600000	63.333333	
0.001000	0.667415	0.776087	71.700000	67.333333	
0.001000	0.652907	0.759434	72.650000	68.000000	
0.001000	0.634986	0.768258	73.450000	68.000000	
0.001000	0.644064	0.721442	73.700000	69.333333	
0.001000	0.616681	0.707657	74.550000	70.666666	
0.001000	0.606784	0.698277	74.750000	70.666666	
0.001000	0.590432	0.701767	75.300000	71.333333	
0.001000	0.578167	0.666808	76.800000	72.000000	
0.001000	0.568345	0.655132	77.950000	73.333333	
0.000100	0.576355	0.648715	76.550000	74.000000	
0.000100	0.557029	0.647111	77.200000	74.000000	
0.000100	0.572821	0.646607	76.100000	75.333333	
0.000100	0.559644	0.645225	76.800000	74.666666	
0.000100	0.559722	0.645294	77.350000	72.666666	
0.000100	0.573595	0.638595	77.050000	74.666666	
0.000100	0.557177	0.648358	78.000000	75.333333	
0.000100	0.563380	0.649553	77.300000	74.000000	
0.000100	0.567004	0.647941	76.800000	72.666666	
0.000100	0.561219	0.642875	77.300000	73.333333	
0.000010	0.547756	0.644374	77.950000	73.333333	
0.000010	0.565846	0.639256	77.300000	75.333333	
0.000010	0.558347	0.638986	77.700000	74.000000	
0.000010	0.553545	0.645344	77.450000	73.333333	
0.000010	0.551572	0.645087	76.850000	74.666666	
