Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.823044	0.905765	68.450000	53.333334	
0.001000	0.719193	0.788848	69.450000	56.666667	
0.001000	0.652417	0.704707	72.450000	67.333333	
0.001000	0.610130	0.646684	74.050000	72.000000	
0.001000	0.570750	0.648508	75.650000	74.000000	
0.001000	0.554772	0.597424	76.750000	75.333333	
0.001000	0.520118	0.556393	77.550000	76.000000	
0.001000	0.490198	0.541314	80.550000	77.333333	
0.001000	0.473106	0.525085	80.250000	80.666667	
0.001000	0.453785	0.526893	81.200000	80.000000	
0.001000	0.410619	0.500467	83.800000	80.666666	
0.001000	0.390362	0.493131	85.150000	80.666666	
0.001000	0.388082	0.473005	83.700000	82.666666	
0.001000	0.360870	0.522632	85.600000	81.999999	
0.001000	0.335252	0.598882	86.050000	75.333333	
0.000100	0.307000	0.497490	87.950000	80.666666	
0.000100	0.310373	0.485982	89.050000	80.666666	
0.000100	0.292726	0.483498	88.750000	80.000000	
0.000100	0.311002	0.487194	87.450000	80.666666	
0.000100	0.295132	0.478607	87.850000	81.333333	
0.000100	0.298618	0.476990	88.000000	81.333333	
0.000100	0.283213	0.476992	89.600000	81.333333	
0.000100	0.275674	0.471516	89.350000	81.333333	
0.000100	0.286535	0.475083	88.650000	84.000000	
0.000100	0.275446	0.480594	89.350000	82.000000	
0.000010	0.267996	0.485009	90.100000	80.666666	
0.000010	0.274633	0.480367	89.750000	82.000000	
0.000010	0.275331	0.486307	89.000000	80.666666	
0.000010	0.256463	0.482639	90.150000	81.333333	
0.000010	0.257363	0.484194	89.750000	80.000000	
