Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.019549	0.905009	47.581818	60.000000	
0.001000	0.922879	0.870789	55.000000	60.000000	
0.001000	0.895474	0.825152	57.218182	60.666666	
0.001000	0.874047	0.824353	59.090909	60.000000	
0.001000	0.865266	0.801258	59.890909	62.666667	
0.001000	0.854473	0.796018	59.163636	62.000000	
0.001000	0.843117	0.795329	60.563636	64.000000	
0.001000	0.835336	0.777206	61.363636	66.000000	
0.001000	0.829246	0.759135	61.127273	68.000000	
0.001000	0.817863	0.733717	62.563636	69.333333	
0.001000	0.817984	0.716451	61.490909	70.666666	
0.001000	0.812122	0.700995	62.363636	69.333333	
0.001000	0.795712	0.678139	63.509091	70.666666	
0.001000	0.797245	0.694467	63.600000	67.333334	
0.001000	0.783920	0.677457	63.127273	69.333333	
0.000100	0.783297	0.678405	63.672727	69.333334	
0.000100	0.774149	0.666074	64.745455	72.000000	
0.000100	0.784387	0.668393	64.127273	72.666667	
0.000100	0.771812	0.665539	65.381818	70.666667	
0.000100	0.779403	0.666133	64.163636	70.666666	
0.000100	0.778468	0.659362	64.090909	73.333333	
0.000100	0.775354	0.665343	65.000000	71.333334	
0.000100	0.769546	0.661077	65.054545	69.999999	
0.000100	0.778002	0.657836	64.454545	72.666667	
0.000100	0.779188	0.656826	63.345455	72.666667	
0.000010	0.783762	0.655348	64.472727	74.666667	
0.000010	0.776647	0.663414	63.909091	71.333334	
0.000010	0.772689	0.662321	64.600000	73.333334	
0.000010	0.775101	0.671893	64.363636	69.999999	
0.000010	0.765952	0.662071	64.909091	73.333333	
