Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.953840	0.818355	53.636364	62.000000	
0.001000	0.881873	0.796938	58.836364	61.333334	
0.001000	0.848818	0.741052	60.200000	66.666667	
0.001000	0.830590	0.738702	61.145454	64.666666	
0.001000	0.812494	0.771805	61.890909	67.333333	
0.001000	0.809293	0.641598	62.654545	72.666667	
0.001000	0.791521	0.759457	63.545455	66.000000	
0.001000	0.788679	0.662396	63.036364	71.333333	
0.001000	0.771590	0.639941	64.218182	74.666667	
0.001000	0.769200	0.626509	64.636364	71.333333	
0.001000	0.749701	0.607738	65.854545	70.666666	
0.001000	0.740992	0.665026	66.709091	70.666667	
0.001000	0.741017	0.630766	65.490909	71.333333	
0.001000	0.729248	0.603356	66.545455	74.000000	
0.001000	0.718402	0.629328	66.963636	72.000000	
0.000100	0.680202	0.597375	69.836364	72.666666	
0.000100	0.672164	0.592657	70.254545	71.333333	
0.000100	0.664519	0.595483	70.509091	72.666666	
0.000100	0.665217	0.599672	70.509091	70.666667	
0.000100	0.663734	0.601184	70.981818	72.666667	
0.000100	0.661503	0.605723	70.527273	72.000000	
0.000100	0.661063	0.588823	70.490909	76.000000	
0.000100	0.653432	0.593122	71.345455	72.000000	
0.000100	0.654910	0.594611	70.981818	73.333333	
0.000100	0.646215	0.602206	72.018182	74.666667	
0.000010	0.651264	0.602686	71.363636	74.666666	
0.000010	0.649003	0.601405	71.672727	74.666667	
0.000010	0.646351	0.600610	71.872727	74.000000	
0.000010	0.643986	0.604687	71.436364	74.666667	
0.000010	0.645387	0.601126	71.200000	73.333333	
