"model","metric","group_1","group_2","n","mean_difference","cohen_dz","p_raw","p_wilcoxon","p_holm"
"efficientnet_b0","accuracy","ArSDM","Controlnet","5","-0.013333333333333374","-0.8528028654224441","0.12920298463940935","0.14077277337135014","1.0"
"efficientnet_b0","accuracy","ArSDM","DFMGAN","5","0.02666666666666666","2.5298221281346995","0.004812678330044252","0.0625","0.17325641988159307"
"efficientnet_b0","accuracy","ArSDM","Derm-T2IM","5","-0.005333333333333345","-0.4472135954999591","0.3739009663000578","0.4375","1.0"
"efficientnet_b0","accuracy","ArSDM","DreamBooth","5","0.03733333333333331","2.7005598041543064","0.0037922180136553746","0.0625","0.14031206650524886"
"efficientnet_b0","accuracy","ArSDM","LesionGen","5","-0.022666666666666703","-0.8991060050915084","0.11473845635455437","0.14412703481601533","1.0"
"efficientnet_b0","accuracy","ArSDM","Siamese","5","-0.001333333333333342","-0.08032193289025027","0.866193692226412","0.6547208460185769","1.0"
"efficientnet_b0","accuracy","ArSDM","T2I-Adapter","5","-0.00800000000000003","-0.6238502938920459","0.23549636025944154","0.14412703481601533","1.0"
"efficientnet_b0","accuracy","ArSDM","baseline","5","-0.040000000000000015","-1.7693034738587656","0.016729655686679182","0.0625","0.5018896706003755"
"efficientnet_b0","accuracy","ArSDM","flow","5","-0.00800000000000003","-0.5535187248173329","0.283511064227641","0.14077277337135014","1.0"
"efficientnet_b0","accuracy","Controlnet","DFMGAN","5","0.040000000000000036","2.828427124746187","0.003198202152335317","0.0625","0.12764712645073079"
"efficientnet_b0","accuracy","Controlnet","Derm-T2IM","5","0.00800000000000003","0.32420593617498067","0.5086214066288283","0.4375","1.0"
"efficientnet_b0","accuracy","Controlnet","DreamBooth","5","0.05066666666666668","8.497058314499219","4.5202131079409315e-05","0.0625","0.0020340958985734193"
"efficientnet_b0","accuracy","Controlnet","LesionGen","5","-0.009333333333333327","-0.34676418323264857","0.4813989233131691","0.4652088184521418","1.0"
"efficientnet_b0","accuracy","Controlnet","Siamese","5","0.012000000000000033","0.7893522173763262","0.1523174113913015","0.14077277337135014","1.0"
"efficientnet_b0","accuracy","Controlnet","T2I-Adapter","5","0.005333333333333345","0.41590019592802885","0.40502331430906074","0.4142161782425252","1.0"
"efficientnet_b0","accuracy","Controlnet","baseline","5","-0.026666666666666637","-0.8834522085987714","0.11942062412320867","0.14412703481601533","1.0"
"efficientnet_b0","accuracy","Controlnet","flow","5","0.005333333333333345","0.3090669637145026","0.5275206451698221","0.4652088184521418","1.0"
"efficientnet_b0","accuracy","DFMGAN","Derm-T2IM","5","-0.03200000000000001","-1.9277263893659993","0.012540816801036022","0.0625","0.40647263151793167"
"efficientnet_b0","accuracy","DFMGAN","DreamBooth","5","0.010666666666666647","0.8807710121010863","0.12024334063356516","0.1875","1.0"
"efficientnet_b0","accuracy","DFMGAN","LesionGen","5","-0.04933333333333336","-2.494539491114002","0.0050639133239292","0.0625","0.177236966337522"
"efficientnet_b0","accuracy","DFMGAN","Siamese","5","-0.028000000000000004","-1.254990039801111","0.04850207488314713","0.0625","1.0"
"efficientnet_b0","accuracy","DFMGAN","T2I-Adapter","5","-0.03466666666666669","-2.1780403231168157","0.008218229702578036","0.0625","0.27941980988765325"
"efficientnet_b0","accuracy","DFMGAN","baseline","5","-0.06666666666666668","-3.6514837167011174","0.0012249151231905936","0.0625","0.052671350297195524"
"efficientnet_b0","accuracy","DFMGAN","flow","5","-0.03466666666666669","-1.937925580499819","0.012317352470240354","0.0625","0.40647263151793167"
"efficientnet_b0","accuracy","Derm-T2IM","DreamBooth","5","0.04266666666666665","1.8248510352390432","0.015092344138614123","0.0625","0.4678626682970378"
"efficientnet_b0","accuracy","Derm-T2IM","LesionGen","5","-0.017333333333333357","-0.5918268896877824","0.25628682442771794","0.3125","1.0"
"efficientnet_b0","accuracy","Derm-T2IM","Siamese","5","0.0040000000000000036","0.1486132213854209","0.7563404785450806","0.625","1.0"
"efficientnet_b0","accuracy","Derm-T2IM","T2I-Adapter","5","-0.002666666666666684","-0.14804664203952206","0.7572283499374879","0.7150006546880893","1.0"
"efficientnet_b0","accuracy","Derm-T2IM","baseline","5","-0.034666666666666665","-1.3123616093251804","0.04262083042147949","0.0625","1.0"
"efficientnet_b0","accuracy","Derm-T2IM","flow","5","-0.002666666666666684","-0.10577717706958967","0.8246438930690565","1.0","1.0"
"efficientnet_b0","accuracy","DreamBooth","LesionGen","5","-0.06000000000000001","-2.7774602993176525","0.003420200194211694","0.0625","0.12996760738004437"
"efficientnet_b0","accuracy","DreamBooth","Siamese","5","-0.03866666666666665","-2.830110211550736","0.00319117816126827","0.0625","0.12764712645073079"
"efficientnet_b0","accuracy","DreamBooth","T2I-Adapter","5","-0.04533333333333334","-4.138348212261246","0.0007582732429624566","0.0625","0.03336402269034809"
"efficientnet_b0","accuracy","DreamBooth","baseline","5","-0.07733333333333332","-2.965597956876498","0.0026830614693927612","0.0625","0.11000552024510321"
"efficientnet_b0","accuracy","DreamBooth","flow","5","-0.04533333333333334","-3.5351516653882387","0.0013855069102196751","0.0625","0.05819129022922635"
"efficientnet_b0","accuracy","LesionGen","Siamese","5","0.02133333333333336","0.703339171622173","0.19089036663397424","0.1875","1.0"
"efficientnet_b0","accuracy","LesionGen","T2I-Adapter","5","0.014666666666666672","0.5943775496541291","0.25456689849199327","0.27332167829229814","1.0"
"efficientnet_b0","accuracy","LesionGen","baseline","5","-0.01733333333333331","-0.9970544855015833","0.08966251702034485","0.125","1.0"
"efficientnet_b0","accuracy","LesionGen","flow","5","0.014666666666666672","0.6573757351339166","0.21552295024742057","0.3125","1.0"
"efficientnet_b0","accuracy","Siamese","T2I-Adapter","5","-0.006666666666666687","-0.44721359549995754","0.37390096630005926","0.3572725590318747","1.0"
"efficientnet_b0","accuracy","Siamese","baseline","5","-0.03866666666666667","-1.1790176608635243","0.05779983282712841","0.125","1.0"
"efficientnet_b0","accuracy","Siamese","flow","5","-0.006666666666666687","-0.6324555320336759","0.23019964108049873","0.1974660733580187","1.0"
"efficientnet_b0","accuracy","T2I-Adapter","baseline","5","-0.03199999999999999","-1.055008757433259","0.0777416409478998","0.10880943004054568","1.0"
"efficientnet_b0","accuracy","T2I-Adapter","flow","5","0.0","0.0","1.0","1.0","1.0"
"efficientnet_b0","accuracy","baseline","flow","5","0.03199999999999999","1.3742360023532831","0.037188284953742504","0.125","1.0"
"efficientnet_b0","balanced_accuracy","ArSDM","Controlnet","5","-0.03663003663003654","-3.800361896136071","0.0010515867449373108","0.0625","0.04092082148818742"
"efficientnet_b0","balanced_accuracy","ArSDM","DFMGAN","5","0.03389499389499393","3.132516503749562","0.002186833208139523","0.0625","0.0765391622848833"
"efficientnet_b0","balanced_accuracy","ArSDM","Derm-T2IM","5","-0.017435897435897418","-1.075717278617078","0.07392412293682374","0.0625","1.0"
"efficientnet_b0","balanced_accuracy","ArSDM","DreamBooth","5","0.05357753357753361","5.628555973627428","0.00022938385353019273","0.0625","0.01009288955532848"
"efficientnet_b0","balanced_accuracy","ArSDM","LesionGen","5","-0.030891330891330848","-0.9328270621817345","0.105321931020795","0.14412703481601533","1.0"
"efficientnet_b0","balanced_accuracy","ArSDM","Siamese","5","-0.03948717948717943","-2.5769292432323967","0.004500599673696176","0.0625","0.1305173905371891"
"efficientnet_b0","balanced_accuracy","ArSDM","T2I-Adapter","5","-0.030671550671550606","-1.8797793467861394","0.013659353788223761","0.0625","0.3551431984938178"
"efficientnet_b0","balanced_accuracy","ArSDM","baseline","5","-0.049865689865689865","-1.5288665260781396","0.02681340758259175","0.0625","0.6703351895647938"
"efficientnet_b0","balanced_accuracy","ArSDM","flow","5","-0.04229548229548228","-1.9990652674927893","0.01107428759323464","0.0625","0.2990057650173353"
"efficientnet_b0","balanced_accuracy","Controlnet","DFMGAN","5","0.07052503052503048","4.2265086664996545","0.0006991076856339732","0.0625","0.02796430742535893"
"efficientnet_b0","balanced_accuracy","Controlnet","Derm-T2IM","5","0.019194139194139127","0.7773258300115016","0.15717693357971363","0.1875","1.0"
"efficientnet_b0","balanced_accuracy","Controlnet","DreamBooth","5","0.09020757020757016","13.131861941622557","8.008580215273463e-06","0.0625","0.0003603861096873058"
"efficientnet_b0","balanced_accuracy","Controlnet","LesionGen","5","0.005738705738705696","0.16858498416464884","0.7253437304665482","0.8125","1.0"
"efficientnet_b0","balanced_accuracy","Controlnet","Siamese","5","-0.0028571428571428914","-0.17020184972705135","0.722860830218414","0.625","1.0"
