"group","model","seed","metric","value"
"ArSDM","efficientnet_b0","42","accuracy","0.74"
"ArSDM","efficientnet_b0","42","balanced_accuracy","0.6457875457875458"
"ArSDM","efficientnet_b0","42","macro_auc_ovr","0.8566679102790213"
"ArSDM","efficientnet_b0","42","macro_f1","0.6575629308962642"
"ArSDM","efficientnet_b0","42","macro_precision","0.7181186511083419"
"ArSDM","efficientnet_b0","42","macro_recall","0.6457875457875458"
"ArSDM","efficientnet_b0","123","accuracy","0.7333333333333333"
"ArSDM","efficientnet_b0","123","balanced_accuracy","0.6442002442002442"
"ArSDM","efficientnet_b0","123","macro_auc_ovr","0.862035341202008"
"ArSDM","efficientnet_b0","123","macro_f1","0.6640569147354503"
"ArSDM","efficientnet_b0","123","macro_precision","0.7228163992869875"
"ArSDM","efficientnet_b0","123","macro_recall","0.6442002442002442"
"ArSDM","efficientnet_b0","2024","accuracy","0.7533333333333333"
"ArSDM","efficientnet_b0","2024","balanced_accuracy","0.657020757020757"
"ArSDM","efficientnet_b0","2024","macro_auc_ovr","0.8661392619725953"
"ArSDM","efficientnet_b0","2024","macro_f1","0.6769272451988205"
"ArSDM","efficientnet_b0","2024","macro_precision","0.7384135472370766"
"ArSDM","efficientnet_b0","2024","macro_recall","0.657020757020757"
"ArSDM","efficientnet_b0","3407","accuracy","0.74"
"ArSDM","efficientnet_b0","3407","balanced_accuracy","0.6484737484737485"
"ArSDM","efficientnet_b0","3407","macro_auc_ovr","0.8626943426943426"
"ArSDM","efficientnet_b0","3407","macro_f1","0.6677306967984933"
"ArSDM","efficientnet_b0","3407","macro_precision","0.7222222222222223"
"ArSDM","efficientnet_b0","3407","macro_recall","0.6484737484737485"
"ArSDM","efficientnet_b0","7777","accuracy","0.74"
"ArSDM","efficientnet_b0","7777","balanced_accuracy","0.648962148962149"
"ArSDM","efficientnet_b0","7777","macro_auc_ovr","0.8729328901551123"
"ArSDM","efficientnet_b0","7777","macro_f1","0.662456271864068"
"ArSDM","efficientnet_b0","7777","macro_precision","0.712719298245614"
"ArSDM","efficientnet_b0","7777","macro_recall","0.648962148962149"
"ArSDM","resnet18","42","accuracy","0.7733333333333333"
"ArSDM","resnet18","42","balanced_accuracy","0.6913308913308912"
"ArSDM","resnet18","42","macro_auc_ovr","0.8694459141681364"
"ArSDM","resnet18","42","macro_f1","0.7126152972896268"
"ArSDM","resnet18","42","macro_precision","0.7850961538461538"
"ArSDM","resnet18","42","macro_recall","0.6913308913308912"
"ArSDM","resnet18","123","accuracy","0.78"
"ArSDM","resnet18","123","balanced_accuracy","0.7481074481074481"
"ArSDM","resnet18","123","macro_auc_ovr","0.9082899199565867"
"ArSDM","resnet18","123","macro_f1","0.7479960899315738"
"ArSDM","resnet18","123","macro_precision","0.7537229437229437"
"ArSDM","resnet18","123","macro_recall","0.7481074481074481"
"ArSDM","resnet18","2024","accuracy","0.7933333333333333"
"ArSDM","resnet18","2024","balanced_accuracy","0.7214896214896216"
"ArSDM","resnet18","2024","macro_auc_ovr","0.8909693393026726"
"ArSDM","resnet18","2024","macro_f1","0.7440568475452197"
"ArSDM","resnet18","2024","macro_precision","0.7988262618721745"
"ArSDM","resnet18","2024","macro_recall","0.7214896214896216"
"ArSDM","resnet18","3407","accuracy","0.7533333333333333"
"ArSDM","resnet18","3407","balanced_accuracy","0.678021978021978"
"ArSDM","resnet18","3407","macro_auc_ovr","0.8938391443947"
"ArSDM","resnet18","3407","macro_f1","0.6962464300285598"
"ArSDM","resnet18","3407","macro_precision","0.7330564721052831"
"ArSDM","resnet18","3407","macro_recall","0.678021978021978"
"ArSDM","resnet18","7777","accuracy","0.78"
"ArSDM","resnet18","7777","balanced_accuracy","0.711965811965812"
"ArSDM","resnet18","7777","macro_auc_ovr","0.88811705783928"
"ArSDM","resnet18","7777","macro_f1","0.7345488387006586"
"ArSDM","resnet18","7777","macro_precision","0.7794378419166194"
"ArSDM","resnet18","7777","macro_recall","0.711965811965812"
"ArSDM","resnet50","42","accuracy","0.7933333333333333"
"ArSDM","resnet50","42","balanced_accuracy","0.7388278388278389"
"ArSDM","resnet50","42","macro_auc_ovr","0.9074753538642427"
"ArSDM","resnet50","42","macro_f1","0.7553350657532091"
"ArSDM","resnet50","42","macro_precision","0.7874124520465985"
"ArSDM","resnet50","42","macro_recall","0.7388278388278389"
"ArSDM","resnet50","123","accuracy","0.7866666666666666"
"ArSDM","resnet50","123","balanced_accuracy","0.7377289377289378"
"ArSDM","resnet50","123","macro_auc_ovr","0.8999834938723827"
"ArSDM","resnet50","123","macro_f1","0.7461555122373836"
"ArSDM","resnet50","123","macro_precision","0.7571903405236737"
"ArSDM","resnet50","123","macro_recall","0.7377289377289378"
"ArSDM","resnet50","2024","accuracy","0.82"
"ArSDM","resnet50","2024","balanced_accuracy","0.7737484737484737"
"ArSDM","resnet50","2024","macro_auc_ovr","0.9099942341609008"
"ArSDM","resnet50","2024","macro_f1","0.7836658593780034"
"ArSDM","resnet50","2024","macro_precision","0.8053669222343922"
"ArSDM","resnet50","2024","macro_recall","0.7737484737484737"
"ArSDM","resnet50","3407","accuracy","0.7866666666666666"
"ArSDM","resnet50","3407","balanced_accuracy","0.7213675213675214"
"ArSDM","resnet50","3407","macro_auc_ovr","0.9084422059422059"
"ArSDM","resnet50","3407","macro_f1","0.7296228275442501"
"ArSDM","resnet50","3407","macro_precision","0.7586472641552201"
"ArSDM","resnet50","3407","macro_recall","0.7213675213675214"
"ArSDM","resnet50","7777","accuracy","0.8"
"ArSDM","resnet50","7777","balanced_accuracy","0.7372405372405373"
"ArSDM","resnet50","7777","macro_auc_ovr","0.9015269298602632"
"ArSDM","resnet50","7777","macro_f1","0.7454114313870411"
"ArSDM","resnet50","7777","macro_precision","0.7801745122270907"
"ArSDM","resnet50","7777","macro_recall","0.7372405372405373"
"Controlnet","efficientnet_b0","42","accuracy","0.74"
"Controlnet","efficientnet_b0","42","balanced_accuracy","0.6772893772893772"
"Controlnet","efficientnet_b0","42","macro_auc_ovr","0.8734702437480215"
"Controlnet","efficientnet_b0","42","macro_f1","0.688963249970647"
"Controlnet","efficientnet_b0","42","macro_precision","0.7252271869465493"
"Controlnet","efficientnet_b0","42","macro_recall","0.6772893772893772"
"Controlnet","efficientnet_b0","123","accuracy","0.76"
"Controlnet","efficientnet_b0","123","balanced_accuracy","0.6937728937728939"
"Controlnet","efficientnet_b0","123","macro_auc_ovr","0.8804662415773526"
"Controlnet","efficientnet_b0","123","macro_f1","0.7033249276174466"
"Controlnet","efficientnet_b0","123","macro_precision","0.7373737373737373"
"Controlnet","efficientnet_b0","123","macro_recall","0.6937728937728939"
"Controlnet","efficientnet_b0","2024","accuracy","0.7466666666666667"
"Controlnet","efficientnet_b0","2024","balanced_accuracy","0.6815628815628815"
"Controlnet","efficientnet_b0","2024","macro_auc_ovr","0.8697434766879212"
"Controlnet","efficientnet_b0","2024","macro_f1","0.6949093112422274"
"Controlnet","efficientnet_b0","2024","macro_precision","0.7392562192835791"
"Controlnet","efficientnet_b0","2024","macro_recall","0.6815628815628815"
"Controlnet","efficientnet_b0","3407","accuracy","0.76"
"Controlnet","efficientnet_b0","3407","balanced_accuracy","0.6905982905982905"
