"model","metric","group_1","group_2","n","mean_difference","cohen_dz","p_raw","p_wilcoxon","p_holm"
"segformer","mDice","ArSDM","Controlnet","5","0.003006368319193542","0.25964343691920666","0.5926610715134839","0.625","1.0"
"segformer","mDice","ArSDM","DFMGAN","5","-0.0004340006510416661","-0.03678937899878113","0.9383891661470435","0.8125","1.0"
"segformer","mDice","ArSDM","Siamese","5","-0.012678869088490785","-0.8606868476046161","0.1266060933746487","0.3125","1.0"
"segformer","mDice","ArSDM","T2I-Adapter","5","-0.0005758674939473574","-0.05304116654733887","0.9113069844371104","1.0","1.0"
"segformer","mDice","ArSDM","baseline","5","0.019635028362274175","1.5813239777465662","0.02410112782221938","0.0625","0.314955383655806"
"segformer","mDice","ArSDM","flow","5","-0.012164004007975238","-0.9220510405832081","0.1082352124264252","0.125","0.9741169118378268"
"segformer","mDice","Controlnet","DFMGAN","5","-0.0034403689702352082","-0.7485750710839758","0.16947062972307922","0.3125","1.0"
"segformer","mDice","Controlnet","Siamese","5","-0.01568523740768433","-2.150934901284118","0.008587585444710489","0.0625","0.14598895256007832"
"segformer","mDice","Controlnet","T2I-Adapter","5","-0.0035822358131408993","-0.4053476546638739","0.41599456005513497","0.625","1.0"
"segformer","mDice","Controlnet","baseline","5","0.016628660043080633","4.472769467306378","0.0005616955025812181","0.0625","0.011233910051624362"
"segformer","mDice","Controlnet","flow","5","-0.01517037232716878","-2.014638292227671","0.010782295675367244","0.0625","0.1725167308058759"
"segformer","mDice","DFMGAN","Siamese","5","-0.01224486843744912","-1.2586051420828546","0.048104736037277385","0.125","0.5484304206559253"
"segformer","mDice","DFMGAN","T2I-Adapter","5","-0.0001418668429056913","-0.011492308169100131","0.9807294643587765","1.0","1.0"
"segformer","mDice","DFMGAN","baseline","5","0.020069029013315844","15.284323827896104","4.372719712050891e-06","0.0625","9.18271139530687e-05"
"segformer","mDice","DFMGAN","flow","5","-0.011730003356933572","-1.2812265501941065","0.04570253505466044","0.0625","0.5484304206559253"
"segformer","mDice","Siamese","T2I-Adapter","5","0.012103001594543427","1.615777113680903","0.02249681311827186","0.0625","0.314955383655806"
"segformer","mDice","Siamese","baseline","5","0.03231389745076496","3.607274779384281","0.0012830819181317461","0.0625","0.024378556444503176"
"segformer","mDice","Siamese","flow","5","0.0005148650805155474","0.060093215282828974","0.8995979239528346","1.0","1.0"
"segformer","mDice","T2I-Adapter","baseline","5","0.020210895856221534","1.6971032970030426","0.019188728054842636","0.0625","0.28783092082263956"
"segformer","mDice","T2I-Adapter","flow","5","-0.01158813651402788","-1.2804109221864177","0.045786687728953245","0.125","0.5484304206559253"
"segformer","mDice","baseline","flow","5","-0.03179903237024941","-3.5566105433481288","0.0013540075762592237","0.0625","0.024378556444503176"
"segformer","mIoU","ArSDM","Controlnet","5","0.0053930040995280315","0.36189427190702333","0.46377458585695436","0.625","1.0"
"segformer","mIoU","ArSDM","DFMGAN","5","0.003091060638427745","0.19381593442794454","0.6870824795350834","0.4375","1.0"
"segformer","mIoU","ArSDM","Siamese","5","-0.014956829071044897","-0.7611928213890106","0.1639550532315054","0.3125","1.0"
"segformer","mIoU","ArSDM","T2I-Adapter","5","0.0012354499499003025","0.09067194496146908","0.8492268749598253","1.0","1.0"
"segformer","mIoU","ArSDM","baseline","5","0.025937348683675122","1.66037109870175","0.02060533503365377","0.0625","0.28847469047115276"
"segformer","mIoU","ArSDM","flow","5","-0.014361372788747162","-0.8073910765909872","0.14532573458965","0.1875","1.0"
"segformer","mIoU","Controlnet","DFMGAN","5","-0.0023019434611002863","-0.33475424805560766","0.49575160721024836","0.625","1.0"
