"group","model","seed","metric","value"
"ArSDM","segformer","42","mDice","0.8507496031125387"
"ArSDM","segformer","42","mIoU","0.7667048891385396"
"ArSDM","segformer","123","mDice","0.8753347436587016"
"ArSDM","segformer","123","mIoU","0.8028625798225403"
"ArSDM","segformer","2024","mDice","0.8681556677818298"
"ArSDM","segformer","2024","mIoU","0.7905276838938395"
"ArSDM","segformer","3407","mDice","0.8587831274668376"
"ArSDM","segformer","3407","mIoU","0.7803800264994304"
"ArSDM","segformer","7777","mDice","0.8493727588653565"
"ArSDM","segformer","7777","mIoU","0.7696975374221802"
"ArSDM","unet","42","mDice","0.7973348569869995"
"ArSDM","unet","42","mIoU","0.7030818470319112"
"ArSDM","unet","123","mDice","0.7854955005645752"
"ArSDM","unet","123","mIoU","0.6875841720898946"
"ArSDM","unet","2024","mDice","0.8005327979723612"
"ArSDM","unet","2024","mIoU","0.7051331265767415"
"ArSDM","unet","3407","mDice","0.7977141030629475"
"ArSDM","unet","3407","mIoU","0.703765819867452"
"ArSDM","unet","7777","mDice","0.773097144762675"
"ArSDM","unet","7777","mIoU","0.6709065198898315"
"Controlnet","segformer","42","mDice","0.8526980845133464"
"Controlnet","segformer","42","mIoU","0.771024055480957"
"Controlnet","segformer","123","mDice","0.8593863836924235"
"Controlnet","segformer","123","mIoU","0.7798321056365967"
"Controlnet","segformer","2024","mDice","0.858451604048411"
"Controlnet","segformer","2024","mIoU","0.7773875021934509"
"Controlnet","segformer","3407","mDice","0.8533326927820841"
"Controlnet","segformer","3407","mIoU","0.7705746261278789"
"Controlnet","segformer","7777","mDice","0.8634952942530314"
"Controlnet","segformer","7777","mIoU","0.7843894068400065"
"Controlnet","unet","42","mDice","0.7811951430638632"
"Controlnet","unet","42","mIoU","0.6887018100420634"
"Controlnet","unet","123","mDice","0.7814232079188029"
"Controlnet","unet","123","mIoU","0.6897263590494792"
"Controlnet","unet","2024","mDice","0.7767516311009725"
"Controlnet","unet","2024","mIoU","0.6808118057250977"
"Controlnet","unet","3407","mDice","0.7693908898035685"
"Controlnet","unet","3407","mIoU","0.6743260542551677"
"Controlnet","unet","7777","mDice","0.7637798555692037"
"Controlnet","unet","7777","mIoU","0.663725069363912"
"DFMGAN","segformer","42","mDice","0.8516004697481792"
"DFMGAN","segformer","42","mIoU","0.7659964005152384"
"DFMGAN","segformer","123","mDice","0.8587496868769328"
"DFMGAN","segformer","123","mIoU","0.7757303015391032"
"DFMGAN","segformer","2024","mDice","0.8671409877141317"
"DFMGAN","segformer","2024","mIoU","0.7883452224731445"
"DFMGAN","segformer","3407","mDice","0.8611070998509724"
"DFMGAN","segformer","3407","mIoU","0.7772321716944377"
"DFMGAN","segformer","7777","mDice","0.8659676599502564"
"DFMGAN","segformer","7777","mIoU","0.7874133173624674"
"DFMGAN","unet","42","mDice","0.7738111646970113"
"DFMGAN","unet","42","mIoU","0.6723964174588521"
"DFMGAN","unet","123","mDice","0.7655572962760925"
"DFMGAN","unet","123","mIoU","0.6618477813402812"
"DFMGAN","unet","2024","mDice","0.7826457071304321"
"DFMGAN","unet","2024","mIoU","0.6813730589548747"
"DFMGAN","unet","3407","mDice","0.7721623802185058"
"DFMGAN","unet","3407","mIoU","0.670545403957367"
"DFMGAN","unet","7777","mDice","0.7662398664156596"
"DFMGAN","unet","7777","mIoU","0.6581654175122579"
"Siamese","segformer","42","mDice","0.8735553995768229"
"Siamese","segformer","42","mIoU","0.7997066942850749"
"Siamese","segformer","123","mDice","0.8743281618754069"
"Siamese","segformer","123","mIoU","0.7954693078994751"
"Siamese","segformer","2024","mDice","0.863300986289978"
"Siamese","segformer","2024","mIoU","0.7858367872238159"
"Siamese","segformer","3407","mDice","0.8770931323369344"
"Siamese","segformer","3407","mIoU","0.8025011491775512"
"Siamese","segformer","7777","mDice","0.8775125662485759"
"Siamese","segformer","7777","mIoU","0.8014429235458373"
"Siamese","unet","42","mDice","0.8055614201227824"
"Siamese","unet","42","mIoU","0.7168099164962769"
"Siamese","unet","123","mDice","0.7835255098342896"
"Siamese","unet","123","mIoU","0.690685490767161"
"Siamese","unet","2024","mDice","0.7925278766949971"
"Siamese","unet","2024","mIoU","0.7035461990038554"
"Siamese","unet","3407","mDice","0.7706828014055888"
"Siamese","unet","3407","mIoU","0.6714950450261434"
"Siamese","unet","7777","mDice","0.7879174256324768"
"Siamese","unet","7777","mIoU","0.6959837587674459"
"T2I-Adapter","segformer","42","mDice","0.8637915452321371"
"T2I-Adapter","segformer","42","mIoU","0.7846791418393453"
"T2I-Adapter","segformer","123","mDice","0.8725574032465617"
"T2I-Adapter","segformer","123","mIoU","0.7949694951375326"
"T2I-Adapter","segformer","2024","mDice","0.8532232983907064"
"T2I-Adapter","segformer","2024","mIoU","0.7728223172823588"
"T2I-Adapter","segformer","3407","mDice","0.857871904373169"
"T2I-Adapter","segformer","3407","mIoU","0.7760862040519715"
"T2I-Adapter","segformer","7777","mDice","0.8578310871124267"
"T2I-Adapter","segformer","7777","mIoU","0.7754383087158203"
"T2I-Adapter","unet","42","mDice","0.7795471398035685"
"T2I-Adapter","unet","42","mIoU","0.6860392121473948"
"T2I-Adapter","unet","123","mDice","0.7433453591664633"
"T2I-Adapter","unet","123","mIoU","0.6407690286636353"
"T2I-Adapter","unet","2024","mDice","0.7898955043156942"
"T2I-Adapter","unet","2024","mIoU","0.6949792202313742"
"T2I-Adapter","unet","3407","mDice","0.7468181045850119"
"T2I-Adapter","unet","3407","mIoU","0.6451196257273356"
"T2I-Adapter","unet","7777","mDice","0.7797200043996175"
"T2I-Adapter","unet","7777","mIoU","0.682556205590566"
"baseline","segformer","42","mDice","0.8323883295059205"
"baseline","segformer","42","mIoU","0.7459801308314006"
"baseline","segformer","123","mDice","0.8387239265441895"
"baseline","segformer","123","mIoU","0.7537611277898153"
"baseline","segformer","2024","mDice","0.845342694123586"
"baseline","segformer","2024","mIoU","0.7606172974904378"
"baseline","segformer","3407","mDice","0.8402638920148213"
"baseline","segformer","3407","mIoU","0.7565664052963257"
"baseline","segformer","7777","mDice","0.847501916885376"
"baseline","segformer","7777","mIoU","0.763561011950175"
"baseline","unet","42","mDice","0.7511428308486938"
"baseline","unet","42","mIoU","0.6476057171821594"
"baseline","unet","123","mDice","0.7116896963119507"
"baseline","unet","123","mIoU","0.6010352571805319"
"baseline","unet","2024","mDice","0.7210833263397217"
"baseline","unet","2024","mIoU","0.6125564821561178"
"baseline","unet","3407","mDice","0.701779301961263"
"baseline","unet","3407","mIoU","0.5912212975819906"
"baseline","unet","7777","mDice","0.7701179210344951"
"baseline","unet","7777","mIoU","0.6702458381652832"
"flow","segformer","42","mDice","0.8791653792063395"
"flow","segformer","42","mIoU","0.8038270409901936"
"flow","segformer","123","mDice","0.8695107253392538"
"flow","segformer","123","mIoU","0.792579955259959"
"flow","segformer","2024","mDice","0.874734460512797"
"flow","segformer","2024","mIoU","0.7984187849362692"
"flow","segformer","3407","mDice","0.8695846645037333"
"flow","segformer","3407","mIoU","0.7932865715026856"
"flow","segformer","7777","mDice","0.8702206913630167"
"flow","segformer","7777","mIoU","0.7938672280311585"
"flow","unet","42","mDice","0.8133514857292176"
"flow","unet","42","mIoU","0.7229254587491354"
"flow","unet","123","mDice","0.7965692480405172"
"flow","unet","123","mIoU","0.7019557611147562"
"flow","unet","2024","mDice","0.8062353738149007"
"flow","unet","2024","mIoU","0.7143484195073445"
"flow","unet","3407","mDice","0.7734384854634603"
"flow","unet","3407","mIoU","0.6771815784772237"
"flow","unet","7777","mDice","0.7970221281051636"
"flow","unet","7777","mIoU","0.7032316581408182"
