"model","metric","group","n","mean","std","ci95_low","ci95_high"
"segformer","mDice","ArSDM","5","0.8604791801770528","0.011186041383199894","0.846589875309116","0.8743684850449897"
"segformer","mDice","Controlnet","5","0.8574728118578593","0.004495238945109511","0.8518912354963933","0.8630543882193252"
"segformer","mDice","DFMGAN","5","0.8609131808280945","0.006240557589836592","0.8531645051400771","0.8686618565161119"
"segformer","mDice","Siamese","5","0.8731580492655435","0.005769216546208083","0.8659946207822755","0.8803214777488115"
"segformer","mDice","T2I-Adapter","5","0.8610550476710003","0.007444044975950688","0.8518120450233527","0.8702980503186478"
"segformer","mDice","baseline","5","0.8408441518147786","0.0059349748565573415","0.8334749072051467","0.8482133964244104"
"segformer","mDice","flow","5","0.872643184185028","0.004241101776341273","0.867377160796627","0.8779092075734289"
"segformer","mIoU","ArSDM","5","0.782034543355306","0.014965610404471516","0.76345228370493","0.8006168030056819"
"segformer","mIoU","Controlnet","5","0.776641539255778","0.005897651767851812","0.7693186373816936","0.7839644411298623"
"segformer","mIoU","DFMGAN","5","0.7789434827168782","0.009233239756457838","0.7674789013245008","0.7904080641092556"
"segformer","mIoU","Siamese","5","0.7969913724263509","0.0067876426592470155","0.7885634009036918","0.8054193439490099"
"segformer","mIoU","T2I-Adapter","5","0.7807990934054058","0.009088912984546038","0.7695137173696882","0.7920844694411233"
"segformer","mIoU","baseline","5","0.756097194671631","0.006785503770797308","0.7476718789297561","0.7645225104135058"
"segformer","mIoU","flow","5","0.7963959161440533","0.004741768124061981","0.7905082333765753","0.8022835989115312"
"unet","mDice","ArSDM","5","0.7908348806699117","0.011475618152030364","0.7765860187534019","0.8050837425864215"
"unet","mDice","Controlnet","5","0.7745081454912821","0.00772738252933536","0.7649133328042577","0.7841029581783066"
"unet","mDice","DFMGAN","5","0.7720832829475401","0.0069153932487375416","0.7634966881171613","0.780669877777919"
"unet","mDice","Siamese","5","0.7880430067380269","0.01273586612802479","0.7722293402809157","0.803856673195138"
"unet","mDice","T2I-Adapter","5","0.7678652224540711","0.02125171306669508","0.7414777354389992","0.794252709469143"
"unet","mDice","baseline","5","0.7311626152992249","0.028552104129391964","0.6957104955287938","0.7666147350696559"
"unet","mDice","flow","5","0.7973233442306518","0.015062133495586619","0.7786212353330428","0.8160254531282607"
"unet","mIoU","ArSDM","5","0.6940942970911662","0.014800548150593328","0.6757169892988931","0.7124716048834393"
"unet","mIoU","Controlnet","5","0.6794582196871439","0.010800254451755174","0.6660479325629596","0.6928685068113283"
"unet","mIoU","DFMGAN","5","0.6688656158447266","0.009157901325920969","0.657494579469228","0.6802366522202252"
"unet","mIoU","Siamese","5","0.6957040820121765","0.016720473955188303","0.6749428714691155","0.7164652925552375"
"unet","mIoU","T2I-Adapter","5","0.669892658472061","0.025061430359749642","0.6387747826508691","0.701010534293253"
"unet","mIoU","baseline","5","0.6245329184532166","0.03326884528549474","0.5832241910004067","0.6658416459060265"
"unet","mIoU","flow","5","0.7039285751978556","0.017242638012056267","0.6825190123442255","0.7253381380514856"
