Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.901828	1.740501	19.186047	38.016529	
0.001000	1.709242	1.506179	38.255814	45.454544	
0.001000	1.556000	1.320189	45.813953	57.024793	
0.001000	1.426603	1.187873	52.558139	62.809917	
0.001000	1.326436	1.064026	57.034884	67.768596	
0.001000	1.225434	0.971942	60.697674	67.768596	
0.001000	1.138576	0.900479	62.674418	67.768596	
0.001000	1.104500	0.851036	63.488372	71.900824	
0.001000	1.027144	0.804659	65.697674	71.900827	
0.001000	0.958804	0.783084	68.255814	73.553717	
0.001000	0.904208	0.750247	70.348837	76.859503	
0.001000	0.842997	0.719598	73.255814	73.553718	
0.001000	0.782823	0.700031	73.895349	74.380164	
0.001000	0.755805	0.664748	75.639535	76.033057	
0.001000	0.715579	0.658152	77.325581	75.206610	
0.000100	0.696436	0.645674	76.337209	76.859503	
0.000100	0.679882	0.643698	78.255814	78.512395	
0.000100	0.684669	0.644101	76.569767	76.859503	
0.000100	0.658356	0.645592	78.779070	76.859503	
0.000100	0.674327	0.649046	77.965116	76.859503	
0.000100	0.683224	0.638119	76.279070	76.859503	
0.000100	0.656321	0.632872	79.127907	80.165288	
0.000100	0.673005	0.645138	77.267442	75.206610	
0.000100	0.655064	0.641815	77.267442	80.165288	
0.000100	0.657231	0.641968	78.430232	77.685950	
0.000010	0.649101	0.636901	77.325581	77.685949	
0.000010	0.654485	0.642677	78.546512	78.512396	
0.000010	0.649902	0.640802	78.662791	77.685950	
0.000010	0.634195	0.640169	79.534884	80.165288	
0.000010	0.653676	0.645966	78.023256	79.338842	
