Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.800956	1.424840	24.883721	43.801654	
0.001000	1.546458	1.086419	37.965116	60.330578	
0.001000	1.367632	0.824747	45.348837	75.206609	
0.001000	1.277182	0.715827	48.139535	78.512395	
0.001000	1.219405	0.609445	51.279070	80.165287	
0.001000	1.186724	0.642284	50.697674	80.991734	
0.001000	1.145388	0.579257	52.848837	83.471074	
0.001000	1.099598	0.533074	55.406977	81.818181	
0.001000	1.093524	0.536606	55.000000	82.644626	
0.001000	1.061603	0.473490	58.255814	84.297519	
0.001000	1.043861	0.458884	57.441860	85.950412	
0.001000	1.001076	0.470109	58.779070	85.950414	
0.001000	1.011377	0.523060	58.255814	83.471074	
0.001000	1.003673	0.424102	57.732558	87.603306	
0.001000	0.967387	0.411036	60.639535	86.776859	
0.000100	0.953874	0.397336	61.162791	86.776860	
0.000100	0.963337	0.383468	59.534884	87.603306	
0.000100	0.962652	0.393849	60.872093	87.603306	
0.000100	0.947963	0.382464	61.976744	87.603306	
0.000100	0.944291	0.391746	61.569767	87.603306	
0.000100	0.921623	0.397119	62.441860	87.603306	
0.000100	0.920002	0.400060	63.372093	89.256198	
0.000100	0.950899	0.394233	61.627907	87.603306	
0.000100	0.933680	0.388484	62.965116	88.429753	
0.000100	0.926407	0.402665	62.151163	86.776860	
0.000010	0.922080	0.406992	63.081395	87.603306	
0.000010	0.941081	0.395057	62.151163	86.776860	
0.000010	0.929848	0.397494	61.337209	86.776860	
0.000010	0.928897	0.399978	63.023256	86.776860	
0.000010	0.913735	0.403328	62.965116	87.603306	
