Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.922388	1.778022	19.593023	42.148760	
0.001000	1.753334	1.584307	35.697674	49.586777	
0.001000	1.595134	1.403435	47.093023	60.330579	
0.001000	1.465422	1.251091	50.523256	66.115703	
0.001000	1.366980	1.126782	54.011628	65.289256	
0.001000	1.278112	1.019079	55.581395	70.247934	
0.001000	1.204983	0.945989	57.674419	72.727274	
0.001000	1.134860	0.887195	60.581395	71.900827	
0.001000	1.095028	0.837103	60.232558	76.033059	
0.001000	1.050091	0.790863	63.546512	76.859502	
0.001000	1.013125	0.772928	63.430233	76.859502	
0.001000	0.975913	0.735502	63.488372	78.512395	
0.001000	0.937467	0.715085	65.872093	79.338841	
0.001000	0.928393	0.685359	66.279070	79.338842	
0.001000	0.889674	0.676418	67.674418	79.338842	
0.000100	0.860365	0.679819	67.965116	79.338842	
0.000100	0.860805	0.674095	68.895349	79.338842	
0.000100	0.863315	0.675451	68.720930	80.165288	
0.000100	0.839547	0.672240	69.476744	79.338841	
0.000100	0.863095	0.669601	68.546512	80.165288	
0.000100	0.854011	0.668310	68.604651	80.991734	
0.000100	0.837288	0.666535	68.837209	79.338841	
0.000100	0.862914	0.667863	67.965116	78.512395	
0.000100	0.841597	0.662528	67.965116	80.165288	
0.000100	0.841567	0.664294	69.883721	79.338842	
0.000010	0.840904	0.662820	69.127907	80.165288	
0.000010	0.836706	0.658472	69.709302	79.338842	
0.000010	0.832283	0.662773	71.395349	80.165288	
0.000010	0.828457	0.655992	69.709302	79.338842	
0.000010	0.844529	0.655433	69.244186	80.165288	
