Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.815087	1.363582	27.500000	58.677685	
0.001000	1.346623	0.905098	49.593023	67.768594	
0.001000	1.127381	0.734031	57.267442	79.338841	
0.001000	0.998732	0.715930	63.546512	72.727272	
0.001000	0.915498	0.591878	66.162791	78.512397	
0.001000	0.858147	0.626041	68.430233	77.685948	
0.001000	0.778370	0.527363	71.453488	78.512397	
0.001000	0.731265	0.520509	72.616279	81.818181	
0.001000	0.725029	0.483293	73.430233	83.471073	
0.001000	0.700297	0.538229	74.709302	79.338844	
0.001000	0.662502	0.473495	75.406977	81.818181	
0.001000	0.591442	0.448358	78.313953	84.297519	
0.001000	0.574757	0.449233	79.709302	84.297520	
0.001000	0.556496	0.447525	80.813953	82.644627	
0.001000	0.540378	0.419592	79.941861	84.297520	
0.000100	0.497212	0.405034	83.662791	85.123967	
0.000100	0.509206	0.408270	82.209302	85.123967	
0.000100	0.502754	0.407233	82.267442	85.123967	
0.000100	0.503963	0.408919	83.023256	85.123967	
0.000100	0.488407	0.406098	83.197674	84.297520	
0.000100	0.485345	0.407984	82.383721	85.950413	
0.000100	0.473333	0.405553	82.732558	84.297520	
0.000100	0.494550	0.408690	83.546512	85.123966	
0.000100	0.471404	0.402870	83.662791	85.123967	
0.000100	0.476369	0.404045	83.372093	85.123967	
0.000010	0.474406	0.400563	83.313953	85.950413	
0.000010	0.472921	0.399963	83.197674	84.297520	
0.000010	0.460211	0.396664	85.000000	84.297520	
0.000010	0.467801	0.400496	83.430233	85.123967	
0.000010	0.466188	0.399744	84.360465	85.950413	
