Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.914277	1.802899	20.058140	42.975206	
0.001000	1.758545	1.585035	39.302326	62.809917	
0.001000	1.609498	1.393486	48.313954	68.595042	
0.001000	1.465951	1.238280	55.465116	71.074381	
0.001000	1.365880	1.111602	57.325581	69.421488	
0.001000	1.259246	1.005931	60.988372	73.553720	
0.001000	1.176739	0.927073	62.325581	74.380163	
0.001000	1.101649	0.863764	64.244186	76.859502	
0.001000	1.019806	0.827159	67.441860	75.206609	
0.001000	0.966244	0.782849	69.069767	75.206609	
0.001000	0.912758	0.743637	69.476744	77.685951	
0.001000	0.887453	0.716148	69.593023	76.859502	
0.001000	0.867987	0.696852	71.279070	78.512395	
0.001000	0.826949	0.677758	72.441860	78.512395	
0.001000	0.792092	0.663340	72.325581	78.512395	
0.000100	0.785889	0.651450	73.313954	80.991735	
0.000100	0.780714	0.647458	74.418605	80.165288	
0.000100	0.763163	0.643135	75.058140	80.991735	
0.000100	0.759316	0.641128	73.430233	79.338842	
0.000100	0.751814	0.639769	74.593023	80.991734	
0.000100	0.765730	0.637999	73.255814	80.165288	
0.000100	0.748824	0.634337	75.348837	80.991734	
0.000100	0.755341	0.638461	74.651163	81.818181	
0.000100	0.759528	0.637738	73.604651	80.165288	
0.000100	0.748816	0.635641	74.011628	80.991734	
0.000010	0.745804	0.632815	73.837209	81.818181	
0.000010	0.744862	0.631595	73.720930	81.818181	
0.000010	0.768694	0.635166	72.616279	80.165288	
0.000010	0.755352	0.627976	74.825581	80.991734	
0.000010	0.744571	0.631251	75.348837	79.338841	
