Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.839118	1.281511	27.441860	57.851238	
0.001000	1.363963	0.998652	52.732558	67.768596	
0.001000	1.049443	0.747598	63.953488	74.380165	
0.001000	0.913841	0.657699	68.837209	78.512395	
0.001000	0.814713	0.613354	72.209302	79.338841	
0.001000	0.740753	0.555176	74.360465	80.991734	
0.001000	0.697631	0.555904	76.279070	80.991734	
0.001000	0.643271	0.544504	77.325581	82.644627	
0.001000	0.576135	0.480685	80.523256	85.950413	
0.001000	0.564419	0.488401	81.220930	80.991735	
0.001000	0.548952	0.483557	81.802326	81.818182	
0.001000	0.524488	0.446276	81.162791	83.471074	
0.001000	0.479870	0.447203	83.430233	82.644627	
0.001000	0.463884	0.426368	83.430232	86.776860	
0.001000	0.464744	0.423618	84.476744	84.297520	
0.000100	0.417171	0.420203	85.697674	86.776860	
0.000100	0.398499	0.425060	86.104651	87.603306	
0.000100	0.417617	0.420849	86.046512	86.776860	
0.000100	0.416187	0.417804	85.813953	85.950413	
0.000100	0.412235	0.414024	85.348837	87.603306	
0.000100	0.416824	0.414613	86.046512	87.603306	
0.000100	0.398750	0.414460	86.337209	85.950413	
0.000100	0.400317	0.409935	85.697674	86.776860	
0.000100	0.407382	0.412668	85.988372	85.950413	
0.000100	0.388061	0.413622	86.569767	86.776860	
0.000010	0.380110	0.414145	88.255814	85.950413	
0.000010	0.371342	0.414767	87.906977	86.776860	
0.000010	0.375794	0.418710	87.383721	85.123967	
0.000010	0.378912	0.415373	87.209302	85.123967	
0.000010	0.381793	0.409833	86.918605	86.776860	
