Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.904266	1.754800	22.267442	38.842974	
0.001000	1.739456	1.509385	38.430233	53.719007	
0.001000	1.598003	1.311566	46.395349	61.157024	
0.001000	1.485309	1.163212	51.511628	65.289256	
0.001000	1.378639	1.061031	56.627907	65.289256	
0.001000	1.292952	0.960442	57.965116	71.074380	
0.001000	1.242337	0.893978	59.186046	72.727274	
0.001000	1.192448	0.840934	62.151163	74.380166	
0.001000	1.129432	0.788542	63.779070	75.206609	
0.001000	1.117881	0.770217	63.197674	77.685951	
0.001000	1.063697	0.731353	65.000000	77.685951	
0.001000	1.029692	0.702086	66.395349	77.685951	
0.001000	0.978293	0.681610	68.023256	77.685948	
0.001000	0.943835	0.669290	68.720930	76.859505	
0.001000	0.891959	0.673608	71.046512	74.380166	
0.000100	0.907692	0.661811	68.197674	75.206612	
0.000100	0.897195	0.652600	69.767442	76.859505	
0.000100	0.887014	0.661896	70.000000	75.206612	
0.000100	0.886705	0.647359	69.360465	76.859505	
0.000100	0.872232	0.650590	71.279070	76.859505	
0.000100	0.868287	0.642887	70.697674	77.685951	
0.000100	0.880704	0.654787	70.872093	77.685951	
0.000100	0.862918	0.657623	70.930233	77.685951	
0.000100	0.874791	0.648500	70.116279	76.033059	
0.000100	0.864343	0.638832	70.523256	79.338844	
0.000010	0.854865	0.639392	71.860465	76.859505	
0.000010	0.866802	0.634920	70.406977	76.859505	
0.000010	0.872432	0.647064	70.174418	77.685951	
0.000010	0.877812	0.639595	70.639535	78.512395	
0.000010	0.867622	0.631722	70.523256	76.033058	
