Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.789609	1.365444	30.232558	47.933884	
0.001000	1.383565	0.982375	56.104651	67.768596	
0.001000	1.158466	0.828369	61.918605	75.206612	
0.001000	0.992697	0.738100	65.058140	72.727274	
0.001000	0.868351	0.651216	71.279070	76.033058	
0.001000	0.765875	0.588702	74.069767	79.338842	
0.001000	0.711002	0.540946	76.686047	80.165287	
0.001000	0.650010	0.514758	77.267442	80.991733	
0.001000	0.572066	0.493498	80.872093	83.471073	
0.001000	0.541574	0.477348	82.558140	82.644626	
0.001000	0.495222	0.555741	82.906977	79.338843	
0.001000	0.445657	0.448409	84.825581	83.471074	
0.001000	0.435388	0.443083	85.348837	81.818183	
0.001000	0.377297	0.401683	87.034884	85.950412	
0.001000	0.378057	0.391258	87.558140	84.297520	
0.000100	0.316526	0.392314	89.825581	87.603307	
0.000100	0.319806	0.397026	89.941860	87.603307	
0.000100	0.314718	0.384691	88.837209	87.603307	
0.000100	0.314096	0.407362	90.116279	84.297520	
0.000100	0.325960	0.397719	89.186047	87.603306	
0.000100	0.297189	0.390433	90.872093	87.603307	
0.000100	0.286850	0.365163	90.988372	88.429753	
0.000100	0.323251	0.367114	89.767442	88.429753	
0.000100	0.279481	0.383816	91.511628	85.950413	
0.000100	0.287147	0.365400	90.872093	86.776860	
0.000010	0.289496	0.366009	90.697674	87.603307	
0.000010	0.296256	0.370687	90.988372	86.776860	
0.000010	0.293065	0.368638	90.872093	86.776860	
0.000010	0.280200	0.361892	91.627907	85.950413	
0.000010	0.296791	0.380545	91.279070	86.776860	
