Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.906176	1.803990	21.279070	32.231404	
0.001000	1.748037	1.570864	38.662791	52.066115	
0.001000	1.599567	1.379403	46.802326	57.851240	
0.001000	1.478886	1.231711	51.162791	60.330578	
0.001000	1.380548	1.125379	55.348837	61.157024	
0.001000	1.302461	1.034758	56.976744	65.289256	
0.001000	1.242762	0.951876	59.302326	68.595042	
0.001000	1.205174	0.900630	59.941860	68.595042	
0.001000	1.151030	0.845930	62.383721	70.247934	
0.001000	1.141968	0.813053	61.744186	71.900827	
0.001000	1.079293	0.797670	64.127907	75.206609	
0.001000	1.068278	0.746288	64.127907	74.380166	
0.001000	1.022314	0.748169	65.813953	72.727274	
0.001000	1.000046	0.727718	66.279070	73.553720	
0.001000	0.966192	0.722833	67.732558	72.727273	
0.000100	0.959495	0.716211	68.023256	72.727273	
0.000100	0.966832	0.707690	66.569767	73.553720	
0.000100	0.948034	0.706689	68.546512	73.553720	
0.000100	0.971720	0.700310	66.279070	74.380166	
0.000100	0.952905	0.707638	67.848837	73.553720	
0.000100	0.927303	0.695105	68.837209	73.553720	
0.000100	0.939335	0.703694	68.139535	74.380166	
0.000100	0.927941	0.700675	67.674419	73.553720	
0.000100	0.938161	0.696562	68.430233	73.553720	
0.000100	0.937260	0.692490	68.604651	74.380166	
0.000010	0.933657	0.691840	68.546512	74.380166	
0.000010	0.934545	0.689615	68.895349	74.380166	
0.000010	0.940582	0.695923	68.313954	73.553720	
0.000010	0.938547	0.692746	68.720930	75.206609	
0.000010	0.958271	0.685281	67.151163	73.553720	
