Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.790596	1.353681	29.593023	57.024793	
0.001000	1.414362	1.000811	51.395349	69.421488	
0.001000	1.193724	0.877749	58.953488	70.247934	
0.001000	1.060201	0.753425	64.302326	76.033056	
0.001000	0.950180	0.640443	68.139535	77.685948	
0.001000	0.881999	0.590488	69.011628	77.685948	
0.001000	0.806292	0.610116	72.732558	76.859503	
0.001000	0.770307	0.545814	73.197674	78.512395	
0.001000	0.687448	0.485419	75.581395	82.644629	
0.001000	0.644736	0.522043	77.500000	82.644626	
0.001000	0.618717	0.511283	78.197674	81.818181	
0.001000	0.552402	0.475085	81.976744	82.644628	
0.001000	0.534532	0.500362	81.220930	83.471075	
0.001000	0.498579	0.414826	82.500000	85.950414	
0.001000	0.427879	0.373708	85.348837	85.950414	
0.000100	0.440214	0.386151	85.000000	87.603307	
0.000100	0.406376	0.386347	87.034884	86.776860	
0.000100	0.407969	0.385990	85.988372	86.776860	
0.000100	0.396297	0.385066	87.267442	86.776860	
0.000100	0.405670	0.372793	86.686046	86.776861	
0.000100	0.389994	0.375690	87.325581	87.603307	
0.000100	0.385380	0.377853	87.325581	87.603307	
0.000100	0.366229	0.373360	88.313953	87.603307	
0.000100	0.363023	0.368519	87.732558	87.603307	
0.000100	0.374339	0.369246	88.197674	88.429753	
0.000010	0.359953	0.365647	87.558139	87.603307	
0.000010	0.352229	0.364027	88.837209	87.603307	
0.000010	0.387810	0.364097	87.209302	88.429753	
0.000010	0.362534	0.371394	88.953488	88.429753	
0.000010	0.378391	0.370332	87.616279	86.776860	
