Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.880740	1.740687	23.488372	38.842975	
0.001000	1.600104	1.467760	52.267442	56.198345	
0.001000	1.371349	1.284654	62.500000	61.157023	
0.001000	1.188501	1.158294	69.418605	64.462810	
0.001000	1.048970	1.041998	71.162791	67.768595	
0.001000	0.932393	0.963879	73.546511	69.421487	
0.001000	0.847797	0.893291	74.069767	71.074379	
0.001000	0.792798	0.876688	75.290698	71.074380	
0.001000	0.743970	0.841494	76.802326	74.380166	
0.001000	0.693391	0.805184	78.546512	74.380165	
0.001000	0.658849	0.790138	79.651163	75.206612	
0.001000	0.606042	0.774285	80.348837	74.380165	
0.001000	0.582082	0.763667	81.337209	73.553719	
0.001000	0.561202	0.737738	81.511628	74.380165	
0.001000	0.533931	0.734881	83.372093	78.512395	
0.000100	0.520104	0.728632	83.197674	78.512395	
0.000100	0.520595	0.730755	83.081395	78.512395	
0.000100	0.502349	0.722627	83.662791	77.685951	
0.000100	0.509888	0.728741	83.895349	77.685951	
0.000100	0.516108	0.725440	83.372093	78.512398	
0.000100	0.530646	0.720469	82.151163	78.512395	
0.000100	0.512056	0.719112	82.848837	78.512398	
0.000100	0.507301	0.716512	84.011628	78.512395	
0.000100	0.489863	0.721582	83.895349	77.685951	
0.000100	0.513312	0.716571	83.372093	79.338841	
0.000010	0.514585	0.719876	83.488372	77.685951	
0.000010	0.492256	0.716066	83.895349	77.685951	
0.000010	0.501689	0.716285	83.081395	78.512395	
0.000010	0.488693	0.716577	84.186047	77.685951	
0.000010	0.498896	0.716457	83.662791	77.685948	
