Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.662258	1.330693	36.976744	57.851240	
0.001000	0.995590	0.955117	68.488372	68.595041	
0.001000	0.738875	0.770106	75.581395	70.247935	
0.001000	0.643002	0.775152	79.069767	69.421487	
0.001000	0.538297	0.644860	82.151163	78.512397	
0.001000	0.507088	0.649244	83.139535	77.685950	
0.001000	0.440352	0.565498	85.174419	78.512397	
0.001000	0.409101	0.548293	86.395349	78.512398	
0.001000	0.392572	0.502347	87.093023	80.165288	
0.001000	0.377307	0.500831	86.918605	77.685949	
0.001000	0.351337	0.524888	87.790698	79.338843	
0.001000	0.319825	0.610704	89.360465	76.033058	
0.001000	0.299024	0.471470	90.174419	80.165288	
0.001000	0.279573	0.447687	90.930233	84.297520	
0.001000	0.274828	0.458408	90.290698	82.644627	
0.000100	0.234608	0.448014	92.732558	80.165287	
0.000100	0.251481	0.448047	92.383721	80.165287	
0.000100	0.244814	0.433550	92.034884	80.165287	
0.000100	0.261210	0.435166	92.209302	80.165287	
0.000100	0.246046	0.427974	92.500000	81.818180	
0.000100	0.250086	0.416419	92.790698	82.644626	
0.000100	0.228384	0.414145	92.558140	82.644626	
0.000100	0.248576	0.411290	91.976744	82.644626	
0.000100	0.236654	0.399814	92.325581	81.818180	
0.000100	0.239576	0.417347	92.674419	83.471072	
0.000010	0.227658	0.411914	92.732558	82.644626	
0.000010	0.235743	0.409987	92.093023	83.471072	
0.000010	0.237110	0.402234	92.325581	83.471072	
0.000010	0.223244	0.409725	93.430232	83.471073	
0.000010	0.229309	0.409390	92.790698	82.644626	
