Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.900415	1.780432	21.627907	36.363636	
0.001000	1.710958	1.538582	41.220930	50.413223	
0.001000	1.550170	1.334219	47.790698	55.371900	
0.001000	1.411126	1.173699	52.325581	64.462811	
0.001000	1.295496	1.066094	57.093023	66.942147	
0.001000	1.220442	0.975679	57.906977	70.247934	
0.001000	1.156981	0.908191	58.837209	73.553720	
0.001000	1.101986	0.859617	60.348837	72.727274	
0.001000	1.062051	0.811976	61.395349	74.380166	
0.001000	1.037763	0.790487	62.267442	73.553720	
0.001000	0.977182	0.770063	64.534884	76.859503	
0.001000	0.963409	0.745378	64.709302	74.380166	
0.001000	0.932904	0.726157	65.755814	77.685949	
0.001000	0.898164	0.715671	66.686047	76.033056	
0.001000	0.883034	0.706932	66.046512	75.206610	
0.000100	0.857781	0.706515	69.767442	76.033056	
0.000100	0.866925	0.705128	68.604651	74.380164	
0.000100	0.871000	0.701903	66.686047	76.859503	
0.000100	0.848539	0.689262	68.255814	76.033056	
0.000100	0.850359	0.694260	68.430233	76.859503	
0.000100	0.839260	0.694588	67.906977	76.859502	
0.000100	0.856432	0.690229	67.965116	76.033056	
0.000100	0.833661	0.693549	68.255814	76.859502	
0.000100	0.847057	0.688065	68.313953	77.685949	
0.000100	0.841335	0.682584	69.709302	76.033056	
0.000010	0.829920	0.684487	68.488372	78.512395	
0.000010	0.843972	0.682791	67.674418	78.512395	
0.000010	0.839399	0.686699	68.023256	77.685948	
0.000010	0.844040	0.688530	68.953488	77.685949	
0.000010	0.857217	0.685911	68.720930	77.685949	
