Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.772976	1.204164	31.686047	57.851238	
0.001000	1.335969	0.837268	50.174419	71.900826	
0.001000	1.096705	0.720061	59.418605	76.033058	
0.001000	1.013837	0.735416	63.372093	76.859503	
0.001000	0.932801	0.707392	65.581395	79.338843	
0.001000	0.873874	0.628106	67.732558	77.685949	
0.001000	0.813432	0.572398	69.767442	78.512398	
0.001000	0.782000	0.537133	71.162791	80.991734	
0.001000	0.723951	0.593138	71.976744	76.859502	
0.001000	0.709045	0.504697	74.476744	82.644628	
0.001000	0.690567	0.543468	74.651163	78.512395	
0.001000	0.656854	0.515638	75.872093	82.644628	
0.001000	0.623351	0.517017	77.151163	81.818181	
0.001000	0.588971	0.472362	78.720930	82.644627	
0.001000	0.591828	0.514167	77.906977	80.165288	
0.000100	0.534762	0.488325	80.639535	81.818181	
0.000100	0.535601	0.470176	80.930232	81.818181	
0.000100	0.551149	0.474583	79.941860	82.644627	
0.000100	0.540759	0.477232	80.406977	82.644627	
0.000100	0.512650	0.483025	81.279070	82.644627	
0.000100	0.534126	0.471702	80.872093	84.297520	
0.000100	0.517583	0.471337	80.930233	80.165288	
0.000100	0.509230	0.472646	82.151163	83.471074	
0.000100	0.515777	0.465274	82.151163	85.950413	
0.000100	0.517780	0.480624	81.511628	82.644627	
0.000010	0.502099	0.461714	81.860465	83.471074	
0.000010	0.508436	0.455645	82.267442	83.471074	
0.000010	0.492003	0.461878	82.325581	83.471074	
0.000010	0.512139	0.466312	82.034884	83.471074	
0.000010	0.506298	0.455292	81.627907	82.644627	
